timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
95838981,1279533,1,pelvis,0.9825,0.0367,-0.1024,-0.1221,0.4272,-0.6104,,t0011,MAPRAA
95838995,1279549,1,pelvis,0.9825,0.0381,-0.1030,0.3052,0.0000,0.1831,,t0011,MAPRAA
95839011,1279564,1,pelvis,0.9850,0.0378,-0.1042,0.4272,-0.0610,0.3052,,t0011,MAPRAA
95839026,1279579,1,pelvis,0.9894,0.0399,-0.1046,0.4883,0.0000,0.1831,,t0011,MAPRAA
95839041,1279595,1,pelvis,0.9899,0.0413,-0.1045,0.4272,0.0000,0.2441,,t0011,MAPRAA
95839056,1279610,1,pelvis,0.9880,0.0420,-0.1033,0.4272,0.0000,0.3052,,t0011,MAPRAA
95839072,1279625,1,pelvis,0.9861,0.0437,-0.1025,0.4883,-0.0610,0.1221,,t0011,MAPRAA
95839088,1279641,1,pelvis,0.9872,0.0438,-0.1022,0.7935,-0.0610,-0.2441,,t0011,MAPRAA
95839103,1279656,1,pelvis,0.9880,0.0428,-0.1023,0.9155,-0.1831,-0.6104,,t0011,MAPRAA
95839118,1279672,1,pelvis,0.9879,0.0427,-0.1030,0.9766,-0.2441,-0.9766,,t0011,MAPRAA
95839134,1279687,1,pelvis,0.9893,0.0415,-0.1042,1.0986,-0.4883,-1.4038,,t0011,MAPRAA
95839150,1279703,1,pelvis,0.9869,0.0405,-0.1038,1.2207,-0.6104,-1.4648,,t0011,MAPRAA
95839165,1279718,1,pelvis,0.9857,0.0421,-0.1027,1.0376,-0.5493,-1.4648,,t0011,MAPRAA
95839181,1279734,1,pelvis,0.9868,0.0447,-0.0989,0.9155,-0.5493,-1.4648,,t0011,MAPRAA
95839196,1279749,1,pelvis,0.9879,0.0463,-0.0977,0.9155,-0.7324,-1.5869,,t0011,MAPRAA
95839212,1279765,1,pelvis,0.9878,0.0494,-0.0984,1.0986,-0.6714,-1.7090,,t0011,MAPRAA
95839227,1279781,1,pelvis,0.9905,0.0496,-0.0981,1.5869,-0.4272,-2.0752,,t0011,MAPRAA
95839243,1279796,1,pelvis,0.9901,0.0474,-0.0973,2.3193,-0.4883,-2.1973,,t0011,MAPRAA
95839258,1279812,1,pelvis,0.9893,0.0416,-0.0958,2.6855,-0.6104,-2.2583,,t0011,MAPRAA
95839274,1279827,1,pelvis,0.9890,0.0376,-0.0941,3.6011,-0.7324,-2.3193,,t0011,MAPRAA
95839289,1279843,1,pelvis,0.9958,0.0356,-0.0984,4.2725,-0.8545,-2.0142,,t0011,MAPRAA
95839305,1279858,1,pelvis,1.0034,0.0303,-0.0991,6.5918,-0.7324,-0.9766,,t0011,MAPRAA
95839320,1279874,1,pelvis,0.9773,0.0132,-0.1069,7.5073,-0.9155,-0.9155,,t0011,MAPRAA
95839336,1279889,1,pelvis,0.9683,-0.0026,-0.0955,4.4556,-0.6104,-2.8076,,t0011,MAPRAA
95839351,1279905,1,pelvis,0.9960,-0.0048,-0.0986,3.3569,0.8545,-1.8921,,t0011,MAPRAA
95839367,1279920,1,pelvis,0.9830,0.0120,-0.0955,1.8311,0.3662,1.2817,,t0011,MAPRAA
95839382,1279935,1,pelvis,0.9760,0.0206,-0.0896,0.6714,-0.9155,0.9766,,t0011,MAPRAA
95839398,1279951,1,pelvis,0.9879,0.0197,-0.0951,-0.1831,-1.5869,-0.7324,,t0011,MAPRAA
95839413,1279966,1,pelvis,0.9878,0.0298,-0.0986,-0.4272,-1.3428,-0.7324,,t0011,MAPRAA
95839429,1279982,1,pelvis,0.9926,0.0374,-0.0991,-0.6714,-0.6714,-0.5493,,t0011,MAPRAA
95839445,1279998,1,pelvis,0.9989,0.0392,-0.1006,-0.4272,-0.9766,-0.6104,,t0011,MAPRAA
