timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
95647249,1788854,3,ankle,0.9283,-0.1047,-0.3553,1.8311,-2.8687,-2.9907,,t004,MAPRAA
95647263,1788870,3,ankle,0.9231,-0.0985,-0.3621,1.9531,-2.9297,-3.1738,,t004,MAPRAA
95647279,1788885,3,ankle,0.9194,-0.0973,-0.3624,2.6245,-2.7466,-3.4180,,t004,MAPRAA
95647294,1788901,3,ankle,0.9155,-0.1017,-0.3580,3.2349,-2.1362,-3.6621,,t004,MAPRAA
95647310,1788916,3,ankle,0.9161,-0.1022,-0.3585,3.8452,-1.0376,-3.9673,,t004,MAPRAA
95647325,1788932,3,ankle,0.9185,-0.0999,-0.3708,4.2725,-1.3428,-4.0283,,t004,MAPRAA
95647341,1788947,3,ankle,0.9210,-0.1010,-0.3574,4.6387,-1.8311,-4.1504,,t004,MAPRAA
95647357,1788963,3,ankle,0.9222,-0.1085,-0.3534,4.2725,-1.2207,-4.1504,,t004,MAPRAA
95647372,1788978,3,ankle,0.9272,-0.1174,-0.3511,4.5166,-1.1597,-4.1504,,t004,MAPRAA
95647388,1788994,3,ankle,0.9279,-0.1201,-0.3431,5.0049,-0.7324,-3.9673,,t004,MAPRAA
95647403,1789009,3,ankle,0.9294,-0.1327,-0.3322,4.9438,-0.4883,-3.6621,,t004,MAPRAA
95647418,1789025,3,ankle,0.9308,-0.1385,-0.3308,4.0894,-0.0610,-2.8687,,t004,MAPRAA
95647434,1789040,3,ankle,0.9303,-0.1523,-0.3192,3.2349,0.3052,-2.3193,,t004,MAPRAA
95647449,1789056,3,ankle,0.9291,-0.1609,-0.3165,1.1597,1.1597,-0.9155,,t004,MAPRAA
95647465,1789071,3,ankle,0.9293,-0.1632,-0.3292,0.2441,1.1597,-0.1831,,t004,MAPRAA
95647480,1789086,3,ankle,0.9260,-0.1573,-0.3345,-1.8311,0.6714,1.0986,,t004,MAPRAA
95647495,1789102,3,ankle,0.9192,-0.1439,-0.3300,-3.2959,0.4883,1.7700,,t004,MAPRAA
95647511,1789117,3,ankle,0.9224,-0.1387,-0.3331,-5.8594,1.4648,3.1128,,t004,MAPRAA
95647526,1789133,3,ankle,0.9264,-0.1368,-0.3451,-6.2256,2.0142,3.6621,,t004,MAPRAA
95647542,1789148,3,ankle,0.9269,-0.1206,-0.3453,-7.0801,2.1973,4.5166,,t004,MAPRAA
95647557,1789163,3,ankle,0.9264,-0.1172,-0.3428,-8.5449,2.6855,5.1880,,t004,MAPRAA
95647572,1789179,3,ankle,0.9254,-0.1187,-0.3528,-8.9722,2.8687,5.3101,,t004,MAPRAA
95647588,1789194,3,ankle,0.9225,-0.1167,-0.3602,-9.2773,2.8687,5.6152,,t004,MAPRAA
95647603,1789209,3,ankle,0.9193,-0.1141,-0.3666,-9.4604,2.7466,5.7983,,t004,MAPRAA
95647618,1789225,3,ankle,0.9178,-0.1113,-0.3677,-10.1929,2.3804,6.1646,,t004,MAPRAA
95647634,1789240,3,ankle,0.9156,-0.1030,-0.3698,-10.4370,2.3193,6.1646,,t004,MAPRAA
95647649,1789256,3,ankle,0.9158,-0.0986,-0.3706,-10.5591,2.8687,6.1646,,t004,MAPRAA
95647665,1789271,3,ankle,0.9202,-0.0928,-0.3712,-10.4980,3.2959,6.0425,,t004,MAPRAA
95647680,1789286,3,ankle,0.9214,-0.0884,-0.3716,-9.7656,3.9062,5.5542,,t004,MAPRAA
95647696,1789302,3,ankle,0.9232,-0.0922,-0.3732,-9.1553,3.9062,5.2490,,t004,MAPRAA
95647711,1789317,3,ankle,0.9232,-0.0978,-0.3743,-7.6904,3.1128,4.8218,,t004,MAPRAA
95647726,1789333,3,ankle,0.9219,-0.1036,-0.3702,-7.0190,2.6855,4.6997,,t004,MAPRAA
95647742,1789348,3,ankle,0.9236,-0.1064,-0.3660,-6.8359,1.9531,4.3945,,t004,MAPRAA
95647757,1789363,3,ankle,0.9231,-0.1068,-0.3646,-7.0190,1.8311,4.1504,,t004,MAPRAA
95647773,1789379,3,ankle,0.9225,-0.1071,-0.3684,-6.8359,1.5259,3.9062,,t004,MAPRAA
95647788,1789394,3,ankle,0.9233,-0.1033,-0.3706,-5.7983,0.3662,3.5400,,t004,MAPRAA
95647803,1789410,3,ankle,0.9238,-0.0988,-0.3715,-5.3711,-0.1221,3.3569,,t004,MAPRAA
95647819,1789425,3,ankle,0.9233,-0.0959,-0.3706,-5.0049,-0.8545,2.9297,,t004,MAPRAA
95647834,1789441,3,ankle,0.9224,-0.0978,-0.3638,-4.6997,-0.9155,2.7466,,t004,MAPRAA
95647850,1789456,3,ankle,0.9222,-0.0989,-0.3639,-3.7231,-0.9155,2.1973,,t004,MAPRAA
95647865,1789472,3,ankle,0.9231,-0.0900,-0.3781,-3.1128,-1.2207,1.8921,,t004,MAPRAA
95647881,1789487,3,ankle,0.9227,-0.0854,-0.3813,-2.0752,-1.8921,1.2817,,t004,MAPRAA
95647897,1789503,3,ankle,0.9182,-0.0808,-0.3794,-1.5869,-1.8921,0.9155,,t004,MAPRAA
95647912,1789518,3,ankle,0.9221,-0.0712,-0.3833,0.0610,-1.2817,-0.0610,,t004,MAPRAA
95647927,1789534,3,ankle,0.9249,-0.0703,-0.3788,1.7090,-1.0986,-1.2207,,t004,MAPRAA
95647943,1789549,3,ankle,0.9296,-0.0718,-0.3669,2.5024,-1.0376,-1.8311,,t004,MAPRAA
95647959,1789565,3,ankle,0.9319,-0.0730,-0.3663,4.5776,-1.2207,-3.0518,,t004,MAPRAA
95647974,1789580,3,ankle,0.9325,-0.0786,-0.3693,5.3101,-1.8921,-3.6011,,t004,MAPRAA
95647989,1789596,3,ankle,0.9310,-0.0822,-0.3654,6.8359,-2.9907,-4.8828,,t004,MAPRAA
95648005,1789611,3,ankle,0.9272,-0.0909,-0.3578,7.6904,-2.9907,-5.4321,,t004,MAPRAA
95648021,1789627,3,ankle,0.9259,-0.0940,-0.3589,8.9111,-2.6855,-6.0425,,t004,MAPRAA
95648036,1789642,3,ankle,0.9258,-0.1033,-0.3655,9.2773,-2.8687,-6.1035,,t004,MAPRAA
95648051,1789658,3,ankle,0.9261,-0.1078,-0.3634,8.3008,-3.9062,-5.9204,,t004,MAPRAA
95648067,1789673,3,ankle,0.9250,-0.1154,-0.3557,7.4463,-4.0894,-5.7373,,t004,MAPRAA
95648082,1789689,3,ankle,0.9282,-0.1239,-0.3474,6.2866,-3.1738,-5.2490,,t004,MAPRAA
95648098,1789704,3,ankle,0.9282,-0.1254,-0.3441,5.1270,-2.5024,-4.7607,,t004,MAPRAA
95648113,1789720,3,ankle,0.9282,-0.1270,-0.3453,4.7607,-2.7466,-4.4556,,t004,MAPRAA
95648129,1789735,3,ankle,0.9283,-0.1281,-0.3469,3.9062,-3.2349,-3.8452,,t004,MAPRAA
