timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
95670841,1839168,2,thigh,-0.9734,0.1923,-0.0316,8.8501,10.1318,0.1831,,t005,MAPRAA
95670856,1839183,2,thigh,-0.9724,0.1930,-0.0308,8.4839,11.0474,-3.6011,,t005,MAPRAA
95670871,1839199,2,thigh,-0.9686,0.1976,-0.0248,8.3618,11.4746,-5.0659,,t005,MAPRAA
95670887,1839214,2,thigh,-0.9668,0.1982,-0.0190,7.6294,11.9629,-6.7749,,t005,MAPRAA
95670902,1839230,2,thigh,-0.9634,0.2004,-0.0114,6.7749,12.2070,-7.0190,,t005,MAPRAA
95670918,1839246,2,thigh,-0.9624,0.2089,-0.0032,5.3101,12.2681,-7.9346,,t005,MAPRAA
95670933,1839261,2,thigh,-0.9608,0.2140,0.0024,4.5776,11.7187,-7.7515,,t005,MAPRAA
95670949,1839277,2,thigh,-0.9570,0.2233,0.0073,4.5166,11.3525,-7.2632,,t005,MAPRAA
95670964,1839292,2,thigh,-0.9564,0.2253,0.0092,4.5776,10.5591,-5.6763,,t005,MAPRAA
95670980,1839307,2,thigh,-0.9574,0.2245,0.0120,4.3945,10.0708,-5.0659,,t005,MAPRAA
95670995,1839323,2,thigh,-0.9576,0.2267,0.0121,3.8452,9.2773,-4.3335,,t005,MAPRAA
95671010,1839338,2,thigh,-0.9591,0.2312,0.0142,4.1504,8.6670,-3.5400,,t005,MAPRAA
95671026,1839354,2,thigh,-0.9573,0.2289,0.0170,4.8828,7.5684,-1.8311,,t005,MAPRAA
95671041,1839369,2,thigh,-0.9559,0.2271,0.0200,5.0659,6.9580,-0.5493,,t005,MAPRAA
95671057,1839385,2,thigh,-0.9576,0.2230,0.0240,5.0659,6.5918,-0.1831,,t005,MAPRAA
95671072,1839400,2,thigh,-0.9568,0.2235,0.0264,4.8828,5.7983,0.1831,,t005,MAPRAA
95671088,1839416,2,thigh,-0.9570,0.2207,0.0287,4.9438,5.1270,0.3052,,t005,MAPRAA
95671103,1839431,2,thigh,-0.9570,0.2198,0.0288,4.5776,4.0894,0.6714,,t005,MAPRAA
95671119,1839446,2,thigh,-0.9601,0.2206,0.0259,4.2114,3.8452,0.7324,,t005,MAPRAA
95671134,1839462,2,thigh,-0.9609,0.2212,0.0237,3.7842,3.7231,1.0376,,t005,MAPRAA
95671149,1839477,2,thigh,-0.9624,0.2208,0.0255,3.6621,3.5400,1.1597,,t005,MAPRAA
95671164,1839492,2,thigh,-0.9633,0.2219,0.0272,3.7842,3.5400,1.4038,,t005,MAPRAA
95671180,1839508,2,thigh,-0.9608,0.2228,0.0280,4.7607,3.4180,1.5259,,t005,MAPRAA
95671195,1839523,2,thigh,-0.9608,0.2186,0.0292,5.1270,3.1738,1.0376,,t005,MAPRAA
95671210,1839538,2,thigh,-0.9591,0.2187,0.0299,5.1270,2.9297,-0.1221,,t005,MAPRAA
95671226,1839554,2,thigh,-0.9630,0.2166,0.0322,5.4321,2.5635,-0.4883,,t005,MAPRAA
95671241,1839569,2,thigh,-0.9681,0.2096,0.0350,4.3335,3.5400,-0.1221,,t005,MAPRAA
95671257,1839585,2,thigh,-0.9601,0.2140,0.0331,3.6011,4.0894,-0.1831,,t005,MAPRAA
95671272,1839600,2,thigh,-0.9619,0.2100,0.0344,4.3335,3.3569,-1.3428,,t005,MAPRAA
95671288,1839616,2,thigh,-0.9664,0.2064,0.0344,2.9297,3.8452,-2.8076,,t005,MAPRAA
95671303,1839631,2,thigh,-0.9630,0.2158,0.0365,2.1973,4.3945,-2.9907,,t005,MAPRAA
95671319,1839647,2,thigh,-0.9623,0.2180,0.0354,2.0752,4.6387,-4.2114,,t005,MAPRAA
95671334,1839662,2,thigh,-0.9640,0.2178,0.0389,2.2583,4.4556,-5.0659,,t005,MAPRAA
95671350,1839678,2,thigh,-0.9640,0.2228,0.0409,1.8921,5.6763,-4.9438,,t005,MAPRAA
95671365,1839693,2,thigh,-0.9559,0.2236,0.0461,2.6245,5.5542,-4.9438,,t005,MAPRAA
95671381,1839709,2,thigh,-0.9600,0.2189,0.0490,2.9297,5.1880,-6.5918,,t005,MAPRAA
95671396,1839724,2,thigh,-0.9604,0.2186,0.0469,1.2207,5.9814,-7.7515,,t005,MAPRAA
95671411,1839739,2,thigh,-0.9608,0.2223,0.0437,0.6104,6.0425,-8.3008,,t005,MAPRAA
95671427,1839755,2,thigh,-0.9604,0.2252,0.0474,-0.2441,5.6763,-8.7891,,t005,MAPRAA
95671442,1839770,2,thigh,-0.9574,0.2347,0.0529,-0.6104,5.6152,-8.6060,,t005,MAPRAA
95671458,1839786,2,thigh,-0.9557,0.2380,0.0536,-0.6104,5.1880,-8.6060,,t005,MAPRAA
95671473,1839801,2,thigh,-0.9546,0.2411,0.0530,-0.4883,4.9438,-8.6060,,t005,MAPRAA
95671489,1839817,2,thigh,-0.9535,0.2460,0.0566,-0.5493,4.5166,-8.1787,,t005,MAPRAA
95671505,1839833,2,thigh,-0.9509,0.2529,0.0593,-0.9155,3.5400,-6.7749,,t005,MAPRAA
95671520,1839848,2,thigh,-0.9456,0.2626,0.0643,-0.7935,2.9907,-5.7373,,t005,MAPRAA
95671536,1839864,2,thigh,-0.9431,0.2672,0.0658,0.0610,2.0752,-3.0518,,t005,MAPRAA
95671551,1839879,2,thigh,-0.9408,0.2671,0.0664,0.5493,1.6479,-1.4648,,t005,MAPRAA
95671566,1839895,2,thigh,-0.9421,0.2640,0.0657,1.3428,0.9766,1.4648,,t005,MAPRAA
95671582,1839910,2,thigh,-0.9457,0.2571,0.0636,1.4648,0.6104,2.7466,,t005,MAPRAA
95671597,1839925,2,thigh,-0.9487,0.2565,0.0636,1.3428,0.0610,4.6997,,t005,MAPRAA
95671613,1839941,2,thigh,-0.9506,0.2549,0.0636,1.6479,-0.4272,6.2256,,t005,MAPRAA
95671628,1839956,2,thigh,-0.9519,0.2463,0.0621,1.9531,-0.6714,6.8970,,t005,MAPRAA
95671644,1839972,2,thigh,-0.9529,0.2426,0.0608,2.2583,-0.9155,7.6294,,t005,MAPRAA
95671659,1839987,2,thigh,-0.9554,0.2379,0.0603,2.5024,-0.9766,7.6294,,t005,MAPRAA
95671675,1840003,2,thigh,-0.9563,0.2365,0.0587,3.6621,-1.0376,7.0801,,t005,MAPRAA
95671690,1840018,2,thigh,-0.9607,0.2266,0.0562,4.4556,-0.9766,6.3477,,t005,MAPRAA
95671706,1840034,2,thigh,-0.9619,0.2129,0.0580,4.8828,-0.7324,4.1504,,t005,MAPRAA
95671721,1840049,2,thigh,-0.9622,0.2123,0.0554,4.1504,0.0610,1.3428,,t005,MAPRAA
95671737,1840065,2,thigh,-0.9651,0.2119,0.0542,3.8452,0.7324,-0.3052,,t005,MAPRAA
95671752,1840080,2,thigh,-0.9650,0.2123,0.0540,2.8687,2.0142,-3.6621,,t005,MAPRAA
95671768,1840096,2,thigh,-0.9653,0.2109,0.0565,2.4414,2.4414,-5.3711,,t005,MAPRAA
95671783,1840111,2,thigh,-0.9656,0.2086,0.0571,0.2441,3.0518,-8.4839,,t005,MAPRAA
95671799,1840127,2,thigh,-0.9635,0.2216,0.0564,-1.2817,3.3569,-9.7656,,t005,MAPRAA
95671814,1840142,2,thigh,-0.9580,0.2379,0.0587,-3.2349,3.8452,-11.3525,,t005,MAPRAA
95671830,1840158,2,thigh,-0.9553,0.2467,0.0605,-3.7231,3.9673,-11.2915,,t005,MAPRAA
95671845,1840173,2,thigh,-0.9498,0.2560,0.0688,-3.6011,3.9062,-10.8643,,t005,MAPRAA
95671861,1840189,2,thigh,-0.9456,0.2598,0.0728,-3.3569,3.5400,-9.3994,,t005,MAPRAA
95671876,1840204,2,thigh,-0.9408,0.2650,0.0758,-3.2959,3.1738,-8.4229,,t005,MAPRAA
