timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
94402490,597118,1,pelvis,-0.3806,0.5594,-0.7223,-0.1221,0.1831,0.1831,,t001,s001
94402505,597134,1,pelvis,-0.3800,0.5619,-0.7197,0.1831,0.0610,0.1831,,t001,s001
94402520,597149,1,pelvis,-0.3813,0.5604,-0.7181,0.4883,0.0610,0.0610,,t001,s001
94402536,597165,1,pelvis,-0.3817,0.5594,-0.7186,0.1831,0.1221,0.0610,,t001,s001
94402551,597180,1,pelvis,-0.3812,0.5591,-0.7208,-0.1831,0.1831,0.1221,,t001,s001
94402567,597196,1,pelvis,-0.3804,0.5605,-0.7208,0.4272,0.1221,0.1831,,t001,s001
94402582,597211,1,pelvis,-0.3805,0.5616,-0.7209,0.3662,0.1221,0.1831,,t001,s001
94402598,597227,1,pelvis,-0.3812,0.5614,-0.7206,-0.1831,0.0610,0.2441,,t001,s001
94402613,597242,1,pelvis,-0.3813,0.5594,-0.7196,-0.3052,0.1221,0.2441,,t001,s001
94402629,597258,1,pelvis,-0.3807,0.5602,-0.7197,0.1221,0.1831,0.0610,,t001,s001
94402644,597274,1,pelvis,-0.3794,0.5608,-0.7217,0.2441,0.0610,0.0000,,t001,s001
94402660,597289,1,pelvis,-0.3796,0.5601,-0.7216,0.0000,0.0000,0.0610,,t001,s001
94402676,597305,1,pelvis,-0.3801,0.5587,-0.7196,0.0000,0.0000,0.0610,,t001,s001
94402691,597320,1,pelvis,-0.3812,0.5627,-0.7202,0.5493,0.1221,0.1221,,t001,s001
94402707,597336,1,pelvis,-0.3801,0.5615,-0.7206,0.6104,0.1221,0.0610,,t001,s001
94402722,597351,1,pelvis,-0.3782,0.5583,-0.7217,0.1831,0.1831,0.0610,,t001,s001
94402738,597367,1,pelvis,-0.3790,0.5598,-0.7222,-0.2441,0.1221,0.2441,,t001,s001
94402753,597382,1,pelvis,-0.3809,0.5621,-0.7190,0.0000,0.0610,0.2441,,t001,s001
94402769,597398,1,pelvis,-0.3812,0.5619,-0.7178,0.3052,0.1221,0.0610,,t001,s001
94402784,597413,1,pelvis,-0.3806,0.5604,-0.7195,0.1221,0.2441,0.0610,,t001,s001
94402800,597429,1,pelvis,-0.3804,0.5615,-0.7211,-0.3662,0.2441,0.2441,,t001,s001
94402815,597444,1,pelvis,-0.3795,0.5594,-0.7216,-0.3662,0.1831,0.2441,,t001,s001
94402831,597460,1,pelvis,-0.3793,0.5594,-0.7205,0.1221,0.0000,0.1221,,t001,s001
94402846,597475,1,pelvis,-0.3802,0.5613,-0.7192,0.2441,0.0610,0.1221,,t001,s001
94402862,597491,1,pelvis,-0.3809,0.5615,-0.7201,0.1831,0.3052,0.3052,,t001,s001
94402877,597506,1,pelvis,-0.3815,0.5610,-0.7191,0.1831,0.2441,0.2441,,t001,s001
94402893,597522,1,pelvis,-0.3824,0.5593,-0.7200,0.0610,0.2441,0.0610,,t001,s001
94402908,597537,1,pelvis,-0.3816,0.5593,-0.7208,0.1831,0.2441,0.1831,,t001,s001
94402924,597553,1,pelvis,-0.3789,0.5613,-0.7174,0.0610,0.2441,0.2441,,t001,s001
94402939,597568,1,pelvis,-0.3785,0.5635,-0.7134,-0.6104,1.0376,-0.1831,,t001,s001
94402955,597584,1,pelvis,-0.3789,0.5565,-0.7278,-0.3052,1.4648,-0.2441,,t001,s001
94402971,597600,1,pelvis,-0.3795,0.5618,-0.7291,0.3052,0.1831,0.2441,,t001,s001
