timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
94402490,570775,2,thigh,-0.7676,0.2051,0.5878,0.1221,-0.1221,-0.0610,,t001,s001
94402505,570791,2,thigh,-0.7673,0.2040,0.5862,0.4272,-0.4272,0.0610,,t001,s001
94402520,570806,2,thigh,-0.7686,0.2032,0.5835,0.2441,-0.2441,0.0610,,t001,s001
94402536,570822,2,thigh,-0.7686,0.2048,0.5840,-0.1831,0.3052,0.0000,,t001,s001
94402551,570837,2,thigh,-0.7678,0.2054,0.5858,-0.0610,0.0610,0.0000,,t001,s001
94402567,570853,2,thigh,-0.7692,0.2054,0.5896,0.1221,-0.1831,-0.0610,,t001,s001
94402582,570868,2,thigh,-0.7699,0.2056,0.5891,0.4883,-0.1221,0.0000,,t001,s001
94402598,570884,2,thigh,-0.7695,0.2043,0.5846,0.6104,0.0000,0.0000,,t001,s001
94402613,570899,2,thigh,-0.7679,0.2046,0.5830,0.4883,0.2441,0.0000,,t001,s001
94402628,570914,2,thigh,-0.7684,0.2054,0.5852,0.4272,0.2441,0.0000,,t001,s001
94402644,570930,2,thigh,-0.7690,0.2059,0.5885,0.1221,0.0610,0.0610,,t001,s001
94402660,570945,2,thigh,-0.7694,0.2062,0.5876,-0.1221,-0.1221,0.0610,,t001,s001
94402675,570961,2,thigh,-0.7692,0.2061,0.5858,-0.3052,-0.2441,0.0610,,t001,s001
94402691,570976,2,thigh,-0.7688,0.2052,0.5858,-0.3052,-0.6104,0.1221,,t001,s001
94402706,570992,2,thigh,-0.7692,0.2048,0.5841,-0.2441,-0.6714,0.1221,,t001,s001
94402722,571008,2,thigh,-0.7690,0.2046,0.5844,-0.6104,-0.5493,-0.0610,,t001,s001
94402738,571023,2,thigh,-0.7683,0.2052,0.5864,-0.7935,-0.5493,-0.0610,,t001,s001
94402753,571039,2,thigh,-0.7695,0.2057,0.5848,-0.4272,-0.6104,0.0000,,t001,s001
94402769,571054,2,thigh,-0.7705,0.2057,0.5834,-0.2441,-0.3662,-0.0610,,t001,s001
94402785,571070,2,thigh,-0.7704,0.2048,0.5847,-0.3052,-0.1831,-0.0610,,t001,s001
94402800,571086,2,thigh,-0.7697,0.2047,0.5852,-0.2441,-0.2441,-0.0610,,t001,s001
94402816,571102,2,thigh,-0.7684,0.2041,0.5857,-0.1221,-0.3662,0.0000,,t001,s001
94402831,571117,2,thigh,-0.7683,0.2050,0.5844,0.0000,-0.3662,0.0000,,t001,s001
94402847,571133,2,thigh,-0.7693,0.2059,0.5833,-0.3662,-0.2441,-0.0610,,t001,s001
94402862,571148,2,thigh,-0.7708,0.2051,0.5829,-0.4272,-0.1831,0.0000,,t001,s001
94402878,571164,2,thigh,-0.7701,0.2046,0.5825,-0.3052,-0.1831,0.0610,,t001,s001
