timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
94402490,544047,3,ankle,-0.9327,-0.0757,-0.3105,0.4883,0.3662,0.0610,,t001,s001
94402505,544063,3,ankle,-0.9326,-0.0752,-0.3113,0.3662,0.3662,0.1221,,t001,s001
94402521,544078,3,ankle,-0.9329,-0.0752,-0.3101,-0.3662,0.0610,0.0000,,t001,s001
94402536,544094,3,ankle,-0.9326,-0.0750,-0.3083,-0.2441,0.0610,-0.0610,,t001,s001
94402552,544110,3,ankle,-0.9318,-0.0750,-0.3098,0.3052,0.1831,-0.0610,,t001,s001
94402567,544125,3,ankle,-0.9331,-0.0753,-0.3102,0.0000,0.1221,0.0000,,t001,s001
94402583,544140,3,ankle,-0.9335,-0.0769,-0.3101,-0.1831,0.0610,0.0610,,t001,s001
94402598,544156,3,ankle,-0.9325,-0.0762,-0.3107,0.1831,0.1221,0.0610,,t001,s001
94402614,544171,3,ankle,-0.9323,-0.0753,-0.3114,0.2441,0.1221,0.0610,,t001,s001
94402629,544187,3,ankle,-0.9329,-0.0752,-0.3105,0.0000,0.0000,0.0000,,t001,s001
94402645,544202,3,ankle,-0.9331,-0.0756,-0.3088,-0.1221,0.0000,0.1221,,t001,s001
94402660,544218,3,ankle,-0.9320,-0.0757,-0.3090,0.1831,0.1221,0.1221,,t001,s001
94402675,544233,3,ankle,-0.9308,-0.0750,-0.3073,0.3052,0.2441,0.1831,,t001,s001
94402691,544249,3,ankle,-0.9323,-0.0754,-0.3071,0.0610,0.4272,0.1221,,t001,s001
94402707,544264,3,ankle,-0.9335,-0.0764,-0.3098,-0.0610,0.4272,0.0610,,t001,s001
94402722,544280,3,ankle,-0.9294,-0.0741,-0.3093,-0.1221,0.3052,0.1831,,t001,s001
94402738,544295,3,ankle,-0.9329,-0.0747,-0.3101,0.7935,0.6104,0.3052,,t001,s001
94402753,544311,3,ankle,-0.9335,-0.0754,-0.3119,0.8545,0.5493,0.4883,,t001,s001
94402768,544326,3,ankle,-0.9321,-0.0751,-0.3114,0.0610,0.2441,0.3662,,t001,s001
94402784,544342,3,ankle,-0.9320,-0.0743,-0.3104,-0.0610,0.1831,0.2441,,t001,s001
94402800,544357,3,ankle,-0.9321,-0.0742,-0.3096,0.3662,0.1831,0.1221,,t001,s001
94402815,544373,3,ankle,-0.9335,-0.0748,-0.3102,0.4883,0.2441,0.1831,,t001,s001
94402830,544388,3,ankle,-0.9326,-0.0748,-0.3108,0.3052,0.0610,0.1831,,t001,s001
94402846,544404,3,ankle,-0.9332,-0.0753,-0.3107,0.1221,0.0000,0.1221,,t001,s001
94402861,544419,3,ankle,-0.9346,-0.0751,-0.3102,0.1831,-0.1221,0.3052,,t001,s001
94402877,544434,3,ankle,-0.9329,-0.0750,-0.3092,0.1831,-0.3052,0.3052,,t001,s001
94402893,544450,3,ankle,-0.9321,-0.0737,-0.3099,-0.1831,-0.3662,0.1221,,t001,s001
94402908,544466,3,ankle,-0.9323,-0.0734,-0.3094,-0.1221,-0.1221,-0.1221,,t001,s001
94402924,544481,3,ankle,-0.9342,-0.0736,-0.3086,0.0610,0.0000,-0.1831,,t001,s001
94402940,544497,3,ankle,-0.9359,-0.0743,-0.3083,-0.6104,-0.1831,-0.2441,,t001,s001
94402955,544513,3,ankle,-0.9302,-0.0743,-0.3054,-1.5869,-0.4883,-0.1221,,t001,s001
94402971,544528,3,ankle,-0.9308,-0.0739,-0.3059,-0.1831,0.3662,-0.2441,,t001,s001
94402986,544544,3,ankle,-0.9346,-0.0758,-0.3090,0.8545,0.7935,-0.1831,,t001,s001
94403002,544560,3,ankle,-0.9324,-0.0748,-0.3093,-0.1831,0.6714,-0.2441,,t001,s001
94403018,544575,3,ankle,-0.9323,-0.0750,-0.3090,-0.3052,0.6714,-0.3662,,t001,s001
94403033,544591,3,ankle,-0.9329,-0.0760,-0.3103,0.1831,0.7324,-0.3662,,t001,s001
94403049,544607,3,ankle,-0.9330,-0.0758,-0.3102,0.1221,0.7935,-0.3052,,t001,s001
94403065,544622,3,ankle,-0.9326,-0.0756,-0.3109,0.1831,0.7324,-0.1831,,t001,s001
94403080,544638,3,ankle,-0.9320,-0.0764,-0.3116,0.3662,0.4883,0.0000,,t001,s001
94403096,544653,3,ankle,-0.9314,-0.0765,-0.3115,0.2441,0.4272,0.0610,,t001,s001
94403111,544669,3,ankle,-0.9314,-0.0756,-0.3103,0.1831,0.1221,0.1221,,t001,s001
94403127,544684,3,ankle,-0.9329,-0.0758,-0.3101,0.0610,0.0000,0.1831,,t001,s001
94403142,544700,3,ankle,-0.9331,-0.0757,-0.3108,-0.1831,-0.3662,0.0610,,t001,s001
94403158,544715,3,ankle,-0.9347,-0.0752,-0.3098,-0.3052,-0.4272,0.0610,,t001,s001
94403173,544731,3,ankle,-0.9349,-0.0740,-0.3051,-1.0986,-0.7935,0.0000,,t001,s001
94403189,544747,3,ankle,-0.9318,-0.0718,-0.3047,-1.8311,-0.5493,-0.1831,,t001,s001
94403205,544762,3,ankle,-0.9362,-0.0743,-0.3044,-1.7090,-0.2441,-0.4883,,t001,s001
94403220,544778,3,ankle,-0.9338,-0.0737,-0.3038,-1.9531,0.0000,-0.3662,,t001,s001
94403236,544794,3,ankle,-0.9335,-0.0739,-0.3052,-1.4038,0.3662,-0.4883,,t001,s001
94403252,544809,3,ankle,-0.9351,-0.0745,-0.3048,-1.4038,0.7324,-0.4883,,t001,s001
94403267,544825,3,ankle,-0.9315,-0.0750,-0.3040,-1.5869,0.9155,-0.4272,,t001,s001
94403283,544841,3,ankle,-0.9324,-0.0759,-0.3051,-0.8545,1.4648,-0.3662,,t001,s001
94403299,544856,3,ankle,-0.9320,-0.0757,-0.3060,0.3662,1.9531,-0.1831,,t001,s001
94403314,544872,3,ankle,-0.9337,-0.0765,-0.3080,0.4272,2.0142,-0.1831,,t001,s001
94403330,544887,3,ankle,-0.9343,-0.0774,-0.3091,-0.3052,1.5869,-0.1221,,t001,s001
94403345,544903,3,ankle,-0.9343,-0.0785,-0.3096,-0.6714,1.2207,-0.0610,,t001,s001
