timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2280380,1330090,2,thigh,loading,-0.9604,-0.0945,0.2388,4.3335,-4.3945,4.0283,t001,s001
2280397,1330105,2,thigh,loading,-0.9606,-0.0980,0.2341,4.3335,1.4648,-1.0376,t001,s001
2280398,1330121,2,thigh,loading,-0.9548,-0.1049,0.2198,3.4180,4.6997,-3.4180,t001,s001
2280439,1330136,2,thigh,loading,-0.9495,-0.1094,0.2114,-0.0610,10.4980,-7.2632,t001,s001
2280439,1330152,2,thigh,loading,-0.9425,-0.1150,0.1885,-1.5869,12.5732,-8.7280,t001,s001
2280441,1330168,2,thigh,loading,-0.9502,-0.1187,0.1667,-3.4790,13.9160,-11.2915,t001,s001
2280485,1330183,2,thigh,loading,-0.9514,-0.1228,0.1600,-4.2725,10.5591,-13.4888,t001,s001
2280486,1330199,2,thigh,loading,-0.9481,-0.1357,0.1550,-4.7607,7.8125,-14.2212,t001,s001
2280486,1330215,2,thigh,loading,-0.9500,-0.1426,0.1567,-5.3101,1.2817,-14.2822,t001,s001
2280527,1330230,2,thigh,loading,-0.9569,-0.1589,0.1715,-5.0049,-2.1362,-13.6108,t001,s001
2280529,1330246,2,thigh,loading,-0.9552,-0.1675,0.1841,-3.4790,-7.8735,-10.3149,t001,s001
2280530,1330262,2,thigh,loading,-0.9507,-0.1787,0.2108,-2.3193,-9.8267,-7.5684,t001,s001
2280573,1330278,2,thigh,loading,-0.9503,-0.1758,0.2245,-1.3428,-10.4980,-1.2207,t001,s001
2280573,1330293,2,thigh,loading,-0.9584,-0.1670,0.2238,-0.1221,-9.3384,5.2490,t001,s001
2280614,1330309,2,thigh,loading,-0.9666,-0.1478,0.2206,1.8311,-9.3994,7.9346,t001,s001
2280615,1330325,2,thigh,loading,-0.9623,-0.1395,0.2231,5.6152,-9.5825,11.0474,t001,s001
2280616,1330340,2,thigh,loading,-0.9579,-0.1212,0.2235,5.1270,-8.4839,11.3525,t001,s001
2280659,1330356,2,thigh,loading,-0.9623,-0.1127,0.2190,2.8687,-5.9814,10.1929,t001,s001
2280659,1330372,2,thigh,loading,-0.9604,-0.1036,0.2159,3.3569,-5.7373,8.9111,t001,s001
2280660,1330387,2,thigh,loading,-0.9541,-0.1041,0.2186,3.9673,-4.8828,5.3101,t001,s001
2280700,1330403,2,thigh,loading,-0.9467,-0.1050,0.2189,1.8311,-3.0518,3.4790,t001,s001
