timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
152615,70784,2,thigh,loading,0.1791,-0.0898,0.9597,-15.8081,-4.1504,-2.8076,t001,s001
152615,70800,2,thigh,loading,0.1754,-0.0951,0.9413,-15.1367,-4.8828,-0.6104,t001,s001
152618,70816,2,thigh,loading,0.1715,-0.0905,0.9357,-11.9629,-9.5825,4.2725,t001,s001
152654,70831,2,thigh,loading,0.1608,-0.0790,0.9641,-14.7095,-13.5498,5.4321,t001,s001
152654,70847,2,thigh,loading,0.1556,-0.0701,0.9873,-18.0664,-16.6016,7.9956,t001,s001
152701,70863,2,thigh,loading,0.1442,-0.0515,1.0117,-19.1040,-16.1133,9.2773,t001,s001
152702,70878,2,thigh,loading,0.1398,-0.0259,1.0386,-20.1416,-14.8926,11.1694,t001,s001
152702,70894,2,thigh,loading,0.1367,-0.0176,1.0511,-15.9302,-10.4980,8.7891,t001,s001
152737,70909,2,thigh,loading,0.1310,-0.0259,1.0707,-18.1274,-7.9956,5.4321,t001,s001
152737,70925,2,thigh,loading,0.1299,-0.0363,1.0814,-26.0620,-2.7466,-0.5493,t001,s001
152770,70941,2,thigh,loading,0.1331,-0.0511,1.1005,-29.5410,0.6104,-1.9531,t001,s001
152772,70957,2,thigh,loading,0.1373,-0.0541,1.1012,-30.0293,11.2915,-0.9766,t001,s001
152815,70972,2,thigh,loading,0.1420,-0.0529,1.0663,-27.2827,17.3950,0.6104,t001,s001
152815,70988,2,thigh,loading,0.1438,-0.0560,1.0427,-28.6255,23.8647,1.4648,t001,s001
152815,71004,2,thigh,loading,0.1539,-0.0834,1.0255,-35.8276,24.1089,0.7935,t001,s001
152847,71019,2,thigh,loading,0.1598,-0.0974,1.0315,-48.5840,24.9023,4.8218,t001,s001
152847,71035,2,thigh,loading,0.1626,-0.0875,1.0381,-49.4385,28.2593,15.1978,t001,s001
152882,71050,2,thigh,loading,0.1819,-0.0641,1.0449,-39.1235,32.1655,21.9116,t001,s001
152883,71066,2,thigh,loading,0.1917,-0.0557,1.0295,-21.3623,41.8701,33.4473,t001,s001
152883,71081,2,thigh,loading,0.2065,-0.0338,0.9852,-16.1743,44.9829,38.4521,t001,s001
152923,71097,2,thigh,loading,0.2131,-0.0168,0.9637,-10.2539,46.9360,46.3867,t001,s001
152925,71112,2,thigh,loading,0.2281,0.0215,0.9248,-8.5449,46.1426,49.0112,t001,s001
152961,71128,2,thigh,loading,0.2456,0.0333,0.9006,-5.1270,43.5181,52.1851,t001,s001
152961,71143,2,thigh,loading,0.2593,0.0532,0.8424,-5.3711,40.8936,53.7720,t001,s001
152961,71159,2,thigh,loading,0.2668,0.0770,0.8160,1.2817,33.6914,60.7300,t001,s001
152994,71174,2,thigh,loading,0.2759,0.1436,0.7751,10.8643,28.1372,63.8428,t001,s001
152994,71189,2,thigh,loading,0.2688,0.2161,0.7531,23.6206,13.4888,64.0869,t001,s001
153027,71205,2,thigh,loading,0.2581,0.2534,0.7537,28.5034,4.6997,62.0728,t001,s001
153027,71220,2,thigh,loading,0.2169,0.3203,0.8124,35.1563,-17.8223,52.0630,t001,s001
153057,71236,2,thigh,loading,0.1871,0.3385,0.8715,24.4751,-41.3208,33.5693,t001,s001
153095,71251,2,thigh,loading,0.1279,0.3726,1.0105,17.8833,-49.2554,26.6724,t001,s001
153095,71267,2,thigh,loading,0.0991,0.4102,1.0759,21.0571,-54.2603,21.1182,t001,s001
153096,71282,2,thigh,loading,0.0460,0.5186,1.2020,26.4893,-51.6968,15.5029,t001,s001
153128,71298,2,thigh,loading,0.0142,0.5645,1.2638,23.9258,-40.4053,-14.9536,t001,s001
153128,71313,2,thigh,loading,-0.0345,0.6245,1.3777,11.7187,-31.8603,-38.3911,t001,s001
153163,71329,2,thigh,loading,-0.0389,0.6259,1.4147,-14.4043,-1.7700,-96.9849,t001,s001
153163,71345,2,thigh,loading,-0.0461,0.5231,1.4183,-32.2876,17.0288,-132.0190,t001,s001
153163,71360,2,thigh,loading,0.0002,0.2937,1.3154,-89.2944,48.2178,-206.4819,t001,s001
153197,71376,2,thigh,loading,0.0228,0.1571,1.2356,-117.3096,59.8755,-239.9292,t001,s001
153199,71392,2,thigh,loading,0.0959,-0.1432,1.1111,-114.6240,77.2095,-277.4048,t001,s001
153238,71407,2,thigh,loading,0.1442,-0.3025,1.0663,-110.6567,89.5386,-287.4756,t001,s001
153239,71423,2,thigh,loading,0.2340,-0.6188,0.9454,-108.1543,97.9004,-280.0293,t001,s001
153272,71439,2,thigh,loading,0.2738,-0.7448,0.8558,-83.9233,113.5254,-223.4497,t001,s001
153273,71455,2,thigh,loading,0.3446,-0.8660,0.6855,-66.6504,112.8540,-179.6264,t001,s001
153273,71470,2,thigh,loading,0.3840,-0.8917,0.6467,-17.2119,93.5059,-83.9844,t001,s001
153307,71486,2,thigh,loading,0.4473,-0.8787,0.6112,7.2021,82.1533,-36.0107,t001,s001
153307,71501,2,thigh,loading,0.4962,-0.7791,0.5750,59.3872,63.7817,51.1475,t001,s001
153335,71517,2,thigh,loading,0.4763,-0.7084,0.5261,112.5488,49.4995,119.7510,t001,s001
153336,71532,2,thigh,loading,0.4156,-0.5472,0.4392,114.9292,33.1421,144.7754,t001,s001
153366,71548,2,thigh,loading,0.3828,-0.4580,0.4309,106.4453,-14.7095,187.5000,t001,s001
153400,71563,2,thigh,loading,0.3098,-0.2605,0.5093,113.2812,-41.0156,208.8013,t001,s001
153402,71579,2,thigh,loading,0.2654,-0.1436,0.5942,136.1084,-88.0127,246.2768,t001,s001
153402,71594,2,thigh,loading,0.1635,0.1287,0.8231,143.7378,-106.6284,257.8735,t001,s001
153437,71610,2,thigh,loading,0.1246,0.2700,0.9513,127.8686,-130.0659,252.9907,t001,s001
153437,71626,2,thigh,loading,0.0764,0.5189,1.1680,113.1592,-130.9204,236.6943,t001,s001
153471,71641,2,thigh,loading,0.0549,0.6096,1.2517,84.1675,-119.0185,185.4248,t001,s001
153473,71656,2,thigh,loading,0.0167,0.7258,1.4135,61.5234,-112.1826,153.9917,t001,s001
153498,71672,2,thigh,loading,-0.0345,0.8303,1.5874,15.6250,-92.1020,93.6890,t001,s001
153509,71687,2,thigh,loading,-0.0487,0.8732,1.6638,14.0991,-73.7915,67.5049,t001,s001
153509,71703,2,thigh,loading,-0.0560,0.8997,1.7189,0.8545,-20.5688,2.0752,t001,s001
153542,71719,2,thigh,loading,-0.0599,0.8702,1.6804,-19.4702,47.2412,-78.6133,t001,s001
153543,71734,2,thigh,loading,-0.0537,0.6807,1.4578,-25.6958,78.7354,-118.1030,t001,s001
153578,71750,2,thigh,loading,-0.0172,0.5400,1.3196,-54.2603,116.8823,-186.4014,t001,s001
153578,71766,2,thigh,loading,0.0771,0.2529,1.0640,-69.7632,127.8686,-211.6699,t001,s001
153612,71781,2,thigh,loading,0.1235,0.1077,0.9353,-78.2471,144.1040,-245.1172,t001,s001
153614,71797,2,thigh,loading,0.2135,-0.2069,0.6870,-83.9233,143.0664,-255.8594,t001,s001
153621,71813,2,thigh,loading,0.3112,-0.5049,0.5200,-93.0786,118.3472,-252.1973,t001,s001
153645,71828,2,thigh,loading,0.3616,-0.6248,0.4731,-79.8340,79.4067,-204.4067,t001,s001
153646,71844,2,thigh,loading,0.4561,-0.7725,0.4271,-69.1528,58.8379,-167.6636,t001,s001
153678,71859,2,thigh,loading,0.4840,-0.7892,0.4268,-37.1094,16.1133,-78.9795,t001,s001
153678,71875,2,thigh,loading,0.5142,-0.6802,0.5051,-9.5215,-4.8828,-32.5317,t001,s001
153713,71891,2,thigh,loading,0.5045,-0.5676,0.5875,59.8144,-39.2456,43.8232,t001,s001
153713,71906,2,thigh,loading,0.4498,-0.3362,0.8031,76.8433,-51.5137,65.3076,t001,s001
153745,71922,2,thigh,loading,0.4421,-0.2544,0.9093,58.8989,-65.1855,77.6978,t001,s001
153745,71938,2,thigh,loading,0.4204,-0.1232,1.0787,44.0674,-63.6597,77.0264,t001,s001
