timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
93950974,145581,1,pelvis,0.1093,0.9517,0.2212,1.1597,-0.1831,0.9155,,t001,s001
93950987,145596,1,pelvis,0.1069,0.9517,0.2216,0.7324,-0.2441,0.7935,,t001,s001
93951002,145612,1,pelvis,0.1053,0.9580,0.2225,0.2441,-0.1221,0.5493,,t001,s001
93951018,145627,1,pelvis,0.1056,0.9596,0.2217,-0.4272,0.3052,0.0000,,t001,s001
93951033,145643,1,pelvis,0.1075,0.9552,0.2181,-0.6104,0.4272,-0.2441,,t001,s001
93951049,145658,1,pelvis,0.1094,0.9528,0.2170,-0.4272,0.2441,-0.7324,,t001,s001
93951064,145674,1,pelvis,0.1135,0.9507,0.2197,-0.0610,0.0610,-0.6104,,t001,s001
93951080,145689,1,pelvis,0.1124,0.9529,0.2218,0.5493,-0.0610,0.3052,,t001,s001
93951095,145705,1,pelvis,0.1107,0.9532,0.2212,0.4883,0.0610,0.7324,,t001,s001
93951110,145720,1,pelvis,0.1085,0.9550,0.2179,0.0000,0.1831,0.8545,,t001,s001
93951126,145735,1,pelvis,0.1078,0.9570,0.2177,0.0610,0.1221,0.1221,,t001,s001
93951141,145751,1,pelvis,0.1090,0.9554,0.2186,0.1831,0.0610,-0.2441,,t001,s001
93951157,145766,1,pelvis,0.1099,0.9524,0.2196,0.3052,-0.0610,-0.2441,,t001,s001
93951172,145782,1,pelvis,0.1105,0.9520,0.2219,0.3052,-0.1221,0.0000,,t001,s001
93951187,145797,1,pelvis,0.1105,0.9537,0.2218,0.0000,0.0000,0.5493,,t001,s001
93951203,145812,1,pelvis,0.1100,0.9570,0.2198,-0.1221,0.1831,0.5493,,t001,s001
93951218,145828,1,pelvis,0.1102,0.9557,0.2190,-0.2441,0.3052,-0.0610,,t001,s001
93951234,145843,1,pelvis,0.1096,0.9525,0.2180,-0.2441,0.2441,-0.3052,,t001,s001
93951249,145859,1,pelvis,0.1089,0.9534,0.2184,0.1221,0.0000,0.1221,,t001,s001
93951264,145874,1,pelvis,0.1086,0.9561,0.2200,0.4272,-0.0610,0.3662,,t001,s001
93951280,145889,1,pelvis,0.1090,0.9548,0.2202,0.7324,-0.0610,0.4883,,t001,s001
93951295,145905,1,pelvis,0.1094,0.9532,0.2218,0.4272,0.0000,0.3052,,t001,s001
93951311,145920,1,pelvis,0.1093,0.9547,0.2224,-0.3662,0.1221,-0.1221,,t001,s001
93951326,145936,1,pelvis,0.1099,0.9551,0.2186,-0.4272,0.2441,-0.2441,,t001,s001
93951342,145951,1,pelvis,0.1101,0.9530,0.2175,-0.2441,0.3052,0.0610,,t001,s001
93951357,145967,1,pelvis,0.1095,0.9529,0.2186,0.2441,0.0000,0.3052,,t001,s001
93951372,145982,1,pelvis,0.1077,0.9554,0.2214,0.3662,-0.1221,0.3662,,t001,s001
93951388,145997,1,pelvis,0.1069,0.9563,0.2216,0.2441,0.0000,0.3662,,t001,s001
93951403,146013,1,pelvis,0.1093,0.9556,0.2200,0.0610,0.1221,0.1831,,t001,s001
