timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2527468692,462821,2,pelvis,loading,-0.9790,-0.0466,-0.1810,0.9155,0.7935,-0.4272,t005,AHC
2527468693,462837,2,pelvis,loading,-0.9706,-0.0382,-0.1877,0.9155,0.7324,-0.4272,t005,AHC
2527468729,462853,2,pelvis,loading,-0.9709,-0.0375,-0.1885,1.2207,0.1221,-0.4883,t005,AHC
2527468730,462869,2,pelvis,loading,-0.9807,-0.0376,-0.1860,1.3428,-0.1831,-0.5493,t005,AHC
2527468731,462886,2,pelvis,loading,-0.9790,-0.0353,-0.1907,1.2207,-0.0610,-0.6104,t005,AHC
2527468769,462902,2,pelvis,loading,-0.9736,-0.0321,-0.1925,1.5259,0.0000,-0.6714,t005,AHC
2527468770,462918,2,pelvis,loading,-0.9670,-0.0364,-0.1937,1.6479,-0.3662,-0.7324,t005,AHC
2527468805,462934,2,pelvis,loading,-0.9735,-0.0459,-0.1969,1.7090,-1.4648,-1.0376,t005,AHC
2527468807,462950,2,pelvis,loading,-0.9755,-0.0465,-0.1927,0.7324,-1.2207,-1.0376,t005,AHC
2527468846,462966,2,pelvis,loading,-0.9750,-0.0386,-0.1810,0.1221,-0.9766,-0.8545,t005,AHC
2527468846,462982,2,pelvis,loading,-0.9756,-0.0334,-0.1785,0.1831,-1.0376,-0.6714,t005,AHC
2527468847,462998,2,pelvis,loading,-0.9807,-0.0341,-0.1803,0.4272,-0.9766,-0.6714,t005,AHC
2527468883,463014,2,pelvis,loading,-0.9779,-0.0343,-0.1858,0.9766,-0.3662,-0.3052,t005,AHC
2527468883,463030,2,pelvis,loading,-0.9751,-0.0325,-0.1885,2.0752,0.0610,0.0610,t005,AHC
2527468925,463046,2,pelvis,loading,-0.9739,-0.0337,-0.1936,2.8687,0.0610,0.0610,t005,AHC
2527468925,463062,2,pelvis,loading,-0.9811,-0.0342,-0.2006,3.9673,-0.0610,0.2441,t005,AHC
2527468926,463078,2,pelvis,loading,-0.9822,-0.0338,-0.2004,4.5166,0.4883,0.1831,t005,AHC
2527468961,463094,2,pelvis,loading,-0.9695,-0.0365,-0.1917,4.5166,0.7935,0.2441,t005,AHC
2527468962,463110,2,pelvis,loading,-0.9695,-0.0383,-0.1893,4.3945,0.4272,0.1831,t005,AHC
2527469004,463126,2,pelvis,loading,-0.9800,-0.0411,-0.1904,4.2114,0.2441,0.1221,t005,AHC
2527469005,463142,2,pelvis,loading,-0.9827,-0.0420,-0.1859,3.1738,0.3662,0.0000,t005,AHC
2527469005,463157,2,pelvis,loading,-0.9799,-0.0370,-0.1832,2.5024,0.3052,-0.0610,t005,AHC
2527469041,463174,2,pelvis,loading,-0.9740,-0.0299,-0.1815,2.5024,0.3052,-0.0610,t005,AHC
