timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2527565081,704551,3,pelvis,loading,0.1149,1.0037,-0.0294,2.0752,0.3662,-0.7324,t008,AHC
2527565082,704566,3,pelvis,loading,0.1372,0.9918,-0.0388,2.3193,1.7700,0.3052,t008,AHC
2527565112,704582,3,pelvis,loading,0.1472,0.9788,-0.0399,2.3193,1.8921,1.7700,t008,AHC
2527565113,704598,3,pelvis,loading,0.1510,0.9471,-0.0387,2.3193,1.6479,2.5635,t008,AHC
2527565146,704614,3,pelvis,loading,0.1508,0.9319,-0.0410,2.3193,1.6479,3.6011,t008,AHC
2527565147,704629,3,pelvis,loading,0.1525,0.9170,-0.0570,2.1973,2.0142,3.7231,t008,AHC
2527565175,704645,3,pelvis,loading,0.1588,0.9171,-0.0602,2.3804,1.8921,3.4790,t008,AHC
2527565176,704661,3,pelvis,loading,0.1473,0.9130,-0.0728,2.5635,0.7935,3.2959,t008,AHC
2527565208,704677,3,pelvis,loading,0.0762,0.9144,-0.0940,1.4648,-1.8921,2.1362,t008,AHC
2527565209,704693,3,pelvis,loading,0.0579,0.9294,-0.0931,-1.2817,-0.3662,0.4883,t008,AHC
2527565237,704708,3,pelvis,loading,0.1136,0.9811,-0.0699,-1.9531,1.9531,-0.3662,t008,AHC
2527565238,704724,3,pelvis,loading,0.1334,0.9943,-0.0680,-1.0986,2.1973,-1.1597,t008,AHC
2527565268,704740,3,pelvis,loading,0.1184,0.9924,-0.0712,-0.6104,0.7935,-1.2817,t008,AHC
2527565269,704756,3,pelvis,loading,0.1151,0.9890,-0.0649,-0.0610,-2.4414,-1.6479,t008,AHC
2527565296,704772,3,pelvis,loading,0.0969,0.9838,-0.0516,0.1831,-3.6621,-2.0142,t008,AHC
2527565298,704788,3,pelvis,loading,0.0620,0.9819,-0.0470,-0.7935,-2.3804,-3.1738,t008,AHC
