timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2528924915,2064465,3,pelvis,loading,-0.9620,-0.2043,-0.1621,-0.8545,-2.8076,-0.3662,t002,FIJTB
2528924964,2064482,3,pelvis,loading,-0.9576,-0.1976,-0.1619,-0.7324,-1.8311,-0.6714,t002,FIJTB
2528924965,2064498,3,pelvis,loading,-0.9514,-0.1958,-0.1614,-1.1597,-0.7324,-0.3662,t002,FIJTB
2528924967,2064514,3,pelvis,loading,-0.9535,-0.1973,-0.1605,-0.9155,-1.1597,0.3052,t002,FIJTB
2528925022,2064530,3,pelvis,loading,-0.9576,-0.1997,-0.1614,-0.3662,-1.4648,0.3662,t002,FIJTB
2528925023,2064547,3,pelvis,loading,-0.9570,-0.2012,-0.1627,0.4272,-1.7700,0.1221,t002,FIJTB
2528925023,2064563,3,pelvis,loading,-0.9537,-0.2062,-0.1697,0.5493,-1.6479,0.1221,t002,FIJTB
2528925048,2064579,3,pelvis,loading,-0.9485,-0.2067,-0.1798,0.5493,-0.9155,0.3662,t002,FIJTB
2528925063,2064595,3,pelvis,loading,-0.9481,-0.2061,-0.1831,-0.5493,-0.3052,0.3662,t002,FIJTB
2528925074,2064611,3,pelvis,loading,-0.9497,-0.2034,-0.1827,-1.2817,-0.2441,0.0610,t002,FIJTB
2528925077,2064627,3,pelvis,loading,-0.9493,-0.2029,-0.1841,-1.9531,-0.8545,-0.6714,t002,FIJTB
2528925132,2064643,3,pelvis,loading,-0.9537,-0.2035,-0.1859,-1.2207,-0.9155,-0.7935,t002,FIJTB
2528925132,2064660,3,pelvis,loading,-0.9535,-0.2042,-0.1838,-1.0376,-0.6714,-0.6714,t002,FIJTB
2528925132,2064676,3,pelvis,loading,-0.9514,-0.2040,-0.1826,-0.7935,-0.5493,-0.4272,t002,FIJTB
2528925183,2064692,3,pelvis,loading,-0.9507,-0.2004,-0.1790,-0.6714,-0.6104,-0.3662,t002,FIJTB
