timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2531290853,4285099,2,tobillo,loading,0.0646,-0.9639,0.2806,0.7935,-0.2441,-0.4272,t003,FJTB
2531290854,4285115,2,tobillo,loading,0.0629,-0.9639,0.2828,0.3662,-0.1831,-0.6104,t003,FJTB
2531290854,4285131,2,tobillo,loading,0.0577,-0.9581,0.2860,0.1831,-0.0610,-0.6714,t003,FJTB
2531290895,4285147,2,tobillo,loading,0.0581,-0.9548,0.2864,0.1221,0.1221,-0.6104,t003,FJTB
2531290895,4285163,2,tobillo,loading,0.0626,-0.9548,0.2849,0.4272,0.0000,-0.4272,t003,FJTB
2531290896,4285179,2,tobillo,loading,0.0664,-0.9608,0.2836,0.4883,-0.1221,-0.3662,t003,FJTB
2531290939,4285195,2,tobillo,loading,0.0618,-0.9625,0.2852,0.3662,-0.3052,-0.3662,t003,FJTB
2531290939,4285211,2,tobillo,loading,0.0579,-0.9586,0.2863,0.1221,-0.1831,-0.4272,t003,FJTB
2531290976,4285227,2,tobillo,loading,0.0598,-0.9563,0.2841,0.0000,0.1831,-0.4883,t003,FJTB
2531290977,4285243,2,tobillo,loading,0.0599,-0.9551,0.2847,-0.2441,0.2441,-0.4272,t003,FJTB
2531290977,4285259,2,tobillo,loading,0.0581,-0.9546,0.2859,-0.2441,0.2441,-0.3052,t003,FJTB
2531291024,4285275,2,tobillo,loading,0.0605,-0.9557,0.2858,-0.2441,0.3052,-0.2441,t003,FJTB
2531291025,4285291,2,tobillo,loading,0.0608,-0.9591,0.2863,-0.3052,0.3052,-0.1831,t003,FJTB
2531291025,4285307,2,tobillo,loading,0.0568,-0.9570,0.2859,-0.5493,0.3052,-0.0610,t003,FJTB
2531291071,4285323,2,tobillo,loading,0.0557,-0.9583,0.2859,-0.5493,0.4883,0.1221,t003,FJTB
2531291073,4285339,2,tobillo,loading,0.0559,-0.9580,0.2872,-0.6104,0.7324,0.2441,t003,FJTB
