timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2531693845,4688142,2,pierna,loading,0.0741,-0.9626,0.2668,-0.0610,0.6714,0.5493,t006,FJTB
2531693895,4688158,2,pierna,loading,0.0756,-0.9608,0.2673,-0.0610,0.5493,0.4883,t006,FJTB
2531693895,4688174,2,pierna,loading,0.0760,-0.9604,0.2672,0.3662,0.1831,0.3052,t006,FJTB
2531693896,4688189,2,pierna,loading,0.0748,-0.9623,0.2690,0.4272,0.0610,0.2441,t006,FJTB
2531693945,4688205,2,pierna,loading,0.0759,-0.9615,0.2682,0.2441,0.1831,0.0610,t006,FJTB
2531693945,4688221,2,pierna,loading,0.0747,-0.9624,0.2672,0.1221,0.1221,0.0000,t006,FJTB
2531693945,4688237,2,pierna,loading,0.0729,-0.9629,0.2675,0.0000,0.1831,0.0610,t006,FJTB
2531693993,4688252,2,pierna,loading,0.0734,-0.9624,0.2675,-0.1831,0.3662,0.3052,t006,FJTB
2531693994,4688268,2,pierna,loading,0.0743,-0.9622,0.2681,-0.0610,0.3662,0.3662,t006,FJTB
2531693994,4688284,2,pierna,loading,0.0730,-0.9617,0.2687,0.0610,0.3052,0.3662,t006,FJTB
2531694038,4688300,2,pierna,loading,0.0734,-0.9607,0.2683,0.2441,0.2441,0.3662,t006,FJTB
2531694039,4688315,2,pierna,loading,0.0735,-0.9614,0.2688,0.2441,0.1831,0.3662,t006,FJTB
2531694040,4688331,2,pierna,loading,0.0732,-0.9618,0.2688,0.2441,0.1831,0.1831,t006,FJTB
2531694065,4688347,2,pierna,loading,0.0750,-0.9604,0.2703,0.2441,0.2441,0.0610,t006,FJTB
2531694088,4688363,2,pierna,loading,0.0758,-0.9611,0.2688,0.2441,0.2441,0.0610,t006,FJTB
2531694089,4688378,2,pierna,loading,0.0747,-0.9620,0.2679,0.3052,0.1831,0.2441,t006,FJTB
2531694133,4688394,2,pierna,loading,0.0717,-0.9628,0.2684,0.2441,0.2441,0.3662,t006,FJTB
2531694135,4688410,2,pierna,loading,0.0717,-0.9620,0.2686,0.1831,0.4272,0.6104,t006,FJTB
2531694135,4688425,2,pierna,loading,0.0743,-0.9631,0.2686,0.1831,0.5493,0.7324,t006,FJTB
2531694176,4688441,2,pierna,loading,0.0745,-0.9625,0.2697,0.1831,0.6714,0.9766,t006,FJTB
2531694184,4688457,2,pierna,loading,0.0739,-0.9615,0.2700,0.3662,0.7324,1.0376,t006,FJTB
2531694184,4688473,2,pierna,loading,0.0752,-0.9606,0.2689,0.4272,0.7935,1.0376,t006,FJTB
2531694194,4688488,2,pierna,loading,0.0757,-0.9622,0.2687,0.4272,0.7935,0.9766,t006,FJTB
2531694231,4688504,2,pierna,loading,0.0760,-0.9628,0.2684,0.4883,0.7935,0.9766,t006,FJTB
2531694232,4688520,2,pierna,loading,0.0773,-0.9623,0.2683,0.4272,0.7935,1.0986,t006,FJTB
2531694257,4688536,2,pierna,loading,0.0781,-0.9613,0.2682,0.4272,0.7935,1.0986,t006,FJTB
2531694281,4688551,2,pierna,loading,0.0789,-0.9609,0.2673,0.4272,0.7935,0.9766,t006,FJTB
2531694282,4688567,2,pierna,loading,0.0789,-0.9620,0.2676,0.5493,0.6104,0.7935,t006,FJTB
2531694318,4688583,2,pierna,loading,0.0803,-0.9617,0.2682,0.4883,0.5493,0.7324,t006,FJTB
2531694326,4688599,2,pierna,loading,0.0820,-0.9603,0.2684,0.4883,0.2441,0.4272,t006,FJTB
2531694328,4688614,2,pierna,loading,0.0820,-0.9609,0.2672,0.7324,0.0000,0.1221,t006,FJTB
2531694361,4688630,2,pierna,loading,0.0804,-0.9636,0.2643,0.6714,-0.1221,-0.0610,t006,FJTB
2531694378,4688646,2,pierna,loading,0.0802,-0.9650,0.2642,0.4272,-0.1831,-0.5493,t006,FJTB
2531694378,4688662,2,pierna,loading,0.0813,-0.9596,0.2671,0.1831,-0.3052,-0.7935,t006,FJTB
2531694411,4688678,2,pierna,loading,0.0823,-0.9594,0.2671,0.4272,-0.6104,-1.1597,t006,FJTB
2531694426,4688694,2,pierna,loading,0.0820,-0.9615,0.2665,0.5493,-1.0986,-1.5259,t006,FJTB
2531694428,4688710,2,pierna,loading,0.0795,-0.9640,0.2650,0.4883,-1.3428,-1.6479,t006,FJTB
2531694428,4688726,2,pierna,loading,0.0762,-0.9651,0.2657,0.1221,-1.5869,-1.9531,t006,FJTB
2531694476,4688741,2,pierna,loading,0.0726,-0.9626,0.2668,-0.1831,-1.4648,-2.1362,t006,FJTB
2531694476,4688757,2,pierna,loading,0.0759,-0.9594,0.2676,-0.4883,-1.1597,-2.5024,t006,FJTB
2531694476,4688773,2,pierna,loading,0.0765,-0.9600,0.2676,-0.2441,-1.4648,-2.3804,t006,FJTB
2531694505,4688789,2,pierna,loading,0.0691,-0.9644,0.2688,-0.1221,-1.6479,-2.1362,t006,FJTB
2531694521,4688805,2,pierna,loading,0.0668,-0.9655,0.2689,-0.3052,-1.3428,-1.8921,t006,FJTB
2531694569,4688821,2,pierna,loading,0.0693,-0.9618,0.2704,-0.5493,-0.7324,-1.8921,t006,FJTB
2531694570,4688837,2,pierna,loading,0.0684,-0.9600,0.2708,-0.3662,-0.6714,-1.7700,t006,FJTB
2531694570,4688853,2,pierna,loading,0.0664,-0.9606,0.2703,-0.0610,-0.6104,-1.3428,t006,FJTB
2531694578,4688869,2,pierna,loading,0.0663,-0.9622,0.2693,-0.0610,-0.4883,-1.1597,t006,FJTB
2531694614,4688885,2,pierna,loading,0.0679,-0.9618,0.2695,-0.2441,-0.0610,-1.0376,t006,FJTB
2531694615,4688902,2,pierna,loading,0.0679,-0.9613,0.2709,-0.2441,0.0610,-0.7935,t006,FJTB
2531694663,4688917,2,pierna,loading,0.0675,-0.9612,0.2703,-0.1831,0.1221,-0.6714,t006,FJTB
2531694663,4688933,2,pierna,loading,0.0693,-0.9620,0.2683,0.1221,0.1831,-0.3662,t006,FJTB
2531694664,4688949,2,pierna,loading,0.0686,-0.9630,0.2676,0.1831,0.1221,-0.3052,t006,FJTB
2531694693,4688965,2,pierna,loading,0.0706,-0.9620,0.2711,0.0610,0.1221,-0.3052,t006,FJTB
2531694707,4688981,2,pierna,loading,0.0718,-0.9622,0.2703,0.1221,0.0610,-0.4883,t006,FJTB
2531694708,4688997,2,pierna,loading,0.0699,-0.9629,0.2700,0.1221,-0.1221,-0.4883,t006,FJTB
2531694755,4689012,2,pierna,loading,0.0688,-0.9613,0.2699,0.2441,-0.3052,-0.4883,t006,FJTB
2531694756,4689028,2,pierna,loading,0.0702,-0.9611,0.2689,0.4883,-0.5493,-0.5493,t006,FJTB
2531694756,4689044,2,pierna,loading,0.0685,-0.9636,0.2681,0.5493,-0.6104,-0.6714,t006,FJTB
2531694799,4689060,2,pierna,loading,0.0696,-0.9642,0.2687,0.4272,-0.6104,-0.7935,t006,FJTB
2531694800,4689076,2,pierna,loading,0.0663,-0.9633,0.2682,0.3052,-0.5493,-0.8545,t006,FJTB
2531694801,4689092,2,pierna,loading,0.0669,-0.9612,0.2688,-0.1221,-0.4272,-1.0376,t006,FJTB
2531694848,4689108,2,pierna,loading,0.0671,-0.9601,0.2699,0.0610,-0.4272,-1.0986,t006,FJTB
2531694848,4689124,2,pierna,loading,0.0685,-0.9608,0.2709,0.1221,-0.3662,-1.1597,t006,FJTB
