timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2531792941,4932604,3,pelvis,loading,-0.9539,-0.1351,-0.2139,-1.6479,-1.2207,0.3662,t007,FJTB
2531792945,4932620,3,pelvis,loading,-0.9589,-0.1388,-0.2139,-1.3428,-1.5259,0.2441,t007,FJTB
2531792988,4932637,3,pelvis,loading,-0.9578,-0.1409,-0.2159,-0.6714,-1.7700,0.3662,t007,FJTB
2531792988,4932653,3,pelvis,loading,-0.9535,-0.1388,-0.2153,-0.4272,-1.8921,0.4883,t007,FJTB
2531793030,4932669,3,pelvis,loading,-0.9525,-0.1376,-0.2141,-0.5493,-1.9531,0.2441,t007,FJTB
2531793031,4932685,3,pelvis,loading,-0.9504,-0.1384,-0.2126,-1.5869,-2.1973,0.1221,t007,FJTB
2531793032,4932701,3,pelvis,loading,-0.9543,-0.1356,-0.2108,-2.0752,-2.2583,0.0610,t007,FJTB
2531793075,4932717,3,pelvis,loading,-0.9576,-0.1364,-0.2106,-1.9531,-2.2583,0.3662,t007,FJTB
2531793075,4932734,3,pelvis,loading,-0.9601,-0.1348,-0.2109,-1.4038,-2.0752,0.4883,t007,FJTB
2531793075,4932750,3,pelvis,loading,-0.9561,-0.1340,-0.2098,-0.6104,-1.5259,0.4883,t007,FJTB
2531793112,4932766,3,pelvis,loading,-0.9523,-0.1375,-0.2103,-0.8545,-1.0986,0.4883,t007,FJTB
2531793113,4932783,3,pelvis,loading,-0.9536,-0.1440,-0.2119,-1.1597,-1.0376,0.6104,t007,FJTB
2531793158,4932799,3,pelvis,loading,-0.9574,-0.1450,-0.2123,-1.3428,-0.9155,0.5493,t007,FJTB
2531793159,4932815,3,pelvis,loading,-0.9609,-0.1439,-0.2113,-1.2207,-0.7324,0.4883,t007,FJTB
2531793159,4932831,3,pelvis,loading,-0.9554,-0.1410,-0.2131,-0.9766,-0.3052,0.4272,t007,FJTB
2531793198,4932847,3,pelvis,loading,-0.9525,-0.1401,-0.2130,-1.3428,-0.1831,0.3662,t007,FJTB
2531793200,4932863,3,pelvis,loading,-0.9492,-0.1417,-0.2133,-1.6479,-0.1831,0.4272,t007,FJTB
2531793243,4932880,3,pelvis,loading,-0.9501,-0.1444,-0.2152,-1.4648,-0.1831,0.6104,t007,FJTB
2531793244,4932896,3,pelvis,loading,-0.9529,-0.1453,-0.2157,-1.2817,-0.3052,0.6714,t007,FJTB
2531793244,4932912,3,pelvis,loading,-0.9501,-0.1420,-0.2189,-1.2207,-0.1221,0.6104,t007,FJTB
2531793284,4932928,3,pelvis,loading,-0.9501,-0.1416,-0.2216,-1.5259,-0.1221,0.1831,t007,FJTB
2531793286,4932944,3,pelvis,loading,-0.9542,-0.1426,-0.2250,-1.5259,-0.1831,0.0610,t007,FJTB
2531793286,4932961,3,pelvis,loading,-0.9515,-0.1390,-0.2246,-1.5869,-0.2441,0.0000,t007,FJTB
2531793330,4932977,3,pelvis,loading,-0.9497,-0.1364,-0.2250,-2.5024,-0.6714,-0.0610,t007,FJTB
2531793331,4932993,3,pelvis,loading,-0.9489,-0.1339,-0.2224,-2.7466,-0.9155,-0.0610,t007,FJTB
2531793367,4933009,3,pelvis,loading,-0.9507,-0.1346,-0.2213,-2.0752,-1.2207,0.0000,t007,FJTB
2531793372,4933025,3,pelvis,loading,-0.9536,-0.1375,-0.2206,-1.4648,-1.2817,0.0610,t007,FJTB
2531793373,4933041,3,pelvis,loading,-0.9525,-0.1400,-0.2185,-0.6714,-1.0986,0.1221,t007,FJTB
2531793420,4933057,3,pelvis,loading,-0.9508,-0.1399,-0.2179,-1.1597,-1.2207,-0.0610,t007,FJTB
2531793421,4933074,3,pelvis,loading,-0.9528,-0.1414,-0.2178,-1.4648,-1.3428,-0.2441,t007,FJTB
2531793421,4933090,3,pelvis,loading,-0.9558,-0.1412,-0.2162,-2.0752,-1.4648,-0.5493,t007,FJTB
2531793463,4933106,3,pelvis,loading,-0.9579,-0.1425,-0.2136,-2.3193,-1.2817,-0.4883,t007,FJTB
2531793464,4933123,3,pelvis,loading,-0.9578,-0.1464,-0.2111,-2.0752,-0.9155,0.0000,t007,FJTB
2531793465,4933139,3,pelvis,loading,-0.9579,-0.1487,-0.2111,-1.2817,-0.3662,0.1221,t007,FJTB
2531793514,4933155,3,pelvis,loading,-0.9565,-0.1490,-0.2130,-1.0376,0.0000,0.0000,t007,FJTB
2531793514,4933171,3,pelvis,loading,-0.9542,-0.1471,-0.2142,-1.0376,0.4883,0.0000,t007,FJTB
2531793515,4933187,3,pelvis,loading,-0.9515,-0.1460,-0.2155,-1.4038,0.6104,-0.0610,t007,FJTB
2531793557,4933203,3,pelvis,loading,-0.9524,-0.1454,-0.2161,-2.3193,0.6714,-0.0610,t007,FJTB
2531793559,4933219,3,pelvis,loading,-0.9520,-0.1443,-0.2163,-3.1128,0.4883,-0.1221,t007,FJTB
2531793560,4933235,3,pelvis,loading,-0.9490,-0.1412,-0.2167,-3.2349,0.3662,-0.1221,t007,FJTB
2531793606,4933252,3,pelvis,loading,-0.9504,-0.1410,-0.2157,-3.2959,0.4272,-0.2441,t007,FJTB
2531793607,4933268,3,pelvis,loading,-0.9594,-0.1431,-0.2139,-3.2959,0.5493,-0.3052,t007,FJTB
2531793623,4933284,3,pelvis,loading,-0.9589,-0.1420,-0.2123,-2.5635,0.9155,-0.1831,t007,FJTB
2531793650,4933300,3,pelvis,loading,-0.9554,-0.1405,-0.2128,-1.8921,1.2817,-0.1221,t007,FJTB
2531793651,4933317,3,pelvis,loading,-0.9518,-0.1447,-0.2151,-1.9531,1.4038,-0.1221,t007,FJTB
2531793698,4933333,3,pelvis,loading,-0.9546,-0.1458,-0.2135,-2.3193,1.6479,-0.2441,t007,FJTB
2531793699,4933349,3,pelvis,loading,-0.9552,-0.1443,-0.2106,-2.1973,1.8921,-0.3662,t007,FJTB
2531793699,4933365,3,pelvis,loading,-0.9514,-0.1493,-0.2073,-2.0752,2.1362,-0.3662,t007,FJTB
2531793742,4933382,3,pelvis,loading,-0.9508,-0.1504,-0.2086,-1.8311,2.7466,-0.2441,t007,FJTB
2531793743,4933398,3,pelvis,loading,-0.9550,-0.1493,-0.2054,-1.8921,2.9907,-0.3662,t007,FJTB
2531793743,4933414,3,pelvis,loading,-0.9590,-0.1501,-0.2065,-1.7700,3.1128,-0.1831,t007,FJTB
2531793790,4933430,3,pelvis,loading,-0.9534,-0.1429,-0.2135,-1.8311,2.9907,-0.1831,t007,FJTB
2531793791,4933446,3,pelvis,loading,-0.9413,-0.1240,-0.2234,-2.0752,2.5024,-0.6104,t007,FJTB
2531793791,4933463,3,pelvis,loading,-0.9398,-0.1215,-0.2207,-1.7700,1.2207,-1.3428,t007,FJTB
2531793834,4933479,3,pelvis,loading,-0.9424,-0.1271,-0.2168,-0.3662,-0.1831,-1.2817,t007,FJTB
2531793836,4933495,3,pelvis,loading,-0.9526,-0.1384,-0.2128,0.1221,-0.8545,-1.0376,t007,FJTB
2531793836,4933511,3,pelvis,loading,-0.9609,-0.1448,-0.2102,0.3052,-1.7090,-0.4883,t007,FJTB
2531793880,4933527,3,pelvis,loading,-0.9724,-0.1493,-0.2091,0.1831,-1.7090,-0.5493,t007,FJTB
2531793881,4933544,3,pelvis,loading,-0.9629,-0.1436,-0.2134,-0.8545,-1.3428,-0.9766,t007,FJTB
2531793921,4933560,3,pelvis,loading,-0.9541,-0.1409,-0.2159,-2.8076,-1.4038,-1.1597,t007,FJTB
2531793923,4933576,3,pelvis,loading,-0.9423,-0.1387,-0.2167,-3.6011,-1.8311,-1.2207,t007,FJTB
2531793924,4933593,3,pelvis,loading,-0.9418,-0.1371,-0.2147,-4.1504,-3.1128,-1.4038,t007,FJTB
2531793969,4933609,3,pelvis,loading,-0.9479,-0.1385,-0.2100,-3.8452,-3.4790,-1.4648,t007,FJTB
2531793969,4933626,3,pelvis,loading,-0.9557,-0.1377,-0.2062,-3.4790,-3.7231,-1.4648,t007,FJTB
2531793970,4933642,3,pelvis,loading,-0.9563,-0.1349,-0.2047,-3.8452,-4.0283,-1.7700,t007,FJTB
2531794011,4933658,3,pelvis,loading,-0.9553,-0.1293,-0.2008,-4.2114,-4.1504,-2.0142,t007,FJTB
2531794013,4933675,3,pelvis,loading,-0.9592,-0.1271,-0.1940,-4.3945,-4.1504,-2.1973,t007,FJTB
2531794050,4933691,3,pelvis,loading,-0.9611,-0.1301,-0.1920,-4.2114,-3.9673,-2.4414,t007,FJTB
2531794059,4933707,3,pelvis,loading,-0.9631,-0.1365,-0.1923,-4.0283,-4.0283,-2.5024,t007,FJTB
2531794059,4933724,3,pelvis,loading,-0.9631,-0.1375,-0.1936,-3.7231,-3.9673,-2.8076,t007,FJTB
2531794101,4933740,3,pelvis,loading,-0.9639,-0.1439,-0.2013,-3.6621,-3.5400,-2.9297,t007,FJTB
2531794103,4933756,3,pelvis,loading,-0.9583,-0.1584,-0.2085,-3.0518,-2.1362,-2.5024,t007,FJTB
2531794103,4933772,3,pelvis,loading,-0.9547,-0.1589,-0.2092,-3.4180,-0.9766,-1.9531,t007,FJTB
2531794149,4933789,3,pelvis,loading,-0.9534,-0.1499,-0.2109,-4.3335,-0.5493,-1.9531,t007,FJTB
2531794149,4933805,3,pelvis,loading,-0.9500,-0.1337,-0.2092,-6.0425,0.3052,-2.4414,t007,FJTB
2531794150,4933821,3,pelvis,loading,-0.9490,-0.1252,-0.2091,-5.5542,0.6714,-2.9297,t007,FJTB
2531794194,4933837,3,pelvis,loading,-0.9510,-0.1211,-0.2126,-4.3945,0.2441,-2.8076,t007,FJTB
2531794194,4933854,3,pelvis,loading,-0.9497,-0.1246,-0.2156,-1.4038,-1.2207,-2.1973,t007,FJTB
2531794195,4933870,3,pelvis,loading,-0.9421,-0.1350,-0.2239,-0.4883,-2.1973,-2.0752,t007,FJTB
2531794241,4933886,3,pelvis,loading,-0.9475,-0.1484,-0.2294,-1.1597,-3.8452,-2.4414,t007,FJTB
2531794242,4933902,3,pelvis,loading,-0.9523,-0.1526,-0.2288,-3.7231,-4.3335,-3.1738,t007,FJTB
2531794284,4933919,3,pelvis,loading,-0.9521,-0.1500,-0.2267,-5.1270,-4.2114,-3.5400,t007,FJTB
2531794284,4933935,3,pelvis,loading,-0.9468,-0.1444,-0.2253,-7.3853,-3.8452,-4.3335,t007,FJTB
2531794286,4933951,3,pelvis,loading,-0.9375,-0.1302,-0.2257,-8.7280,-4.1504,-5.0659,t007,FJTB
2531794332,4933968,3,pelvis,loading,-0.9312,-0.1259,-0.2302,-8.4839,-4.8828,-5.3711,t007,FJTB
2531794332,4933984,3,pelvis,loading,-0.9337,-0.1344,-0.2344,-6.1035,-7.2021,-5.6763,t007,FJTB
2531794333,4934001,3,pelvis,loading,-0.9491,-0.1606,-0.2379,-5.0659,-8.0566,-5.6763,t007,FJTB
2531794375,4934017,3,pelvis,loading,-0.9602,-0.1648,-0.2231,-5.6763,-8.1177,-5.9204,t007,FJTB
2531794376,4934033,3,pelvis,loading,-0.9613,-0.1600,-0.2137,-8.1177,-6.9580,-6.5918,t007,FJTB
2531794377,4934049,3,pelvis,loading,-0.9648,-0.1556,-0.2036,-8.9722,-6.4697,-6.7749,t007,FJTB
2531794426,4934065,3,pelvis,loading,-0.9678,-0.1566,-0.2010,-10.0708,-5.4932,-5.9814,t007,FJTB
2531794426,4934082,3,pelvis,loading,-0.9640,-0.1409,-0.1904,-10.7422,-3.4790,-5.1880,t007,FJTB
2531794426,4934098,3,pelvis,loading,-0.9569,-0.0986,-0.1821,-10.1318,-2.3804,-5.7373,t007,FJTB
2531794472,4934115,3,pelvis,loading,-0.9587,-0.0862,-0.1833,-5.5542,-0.7324,-7.4463,t007,FJTB
