timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2533237271,232735,3,pierna,swing,-0.5227,1.1345,-0.3192,32.2266,15.4419,-25.3906,t004,HHYSS
2533237272,232751,3,pierna,swing,-0.5585,0.9395,-0.2446,72.3877,35.4004,27.8320,t004,HHYSS
2533237272,232767,3,pierna,swing,-0.4666,0.6090,-0.3077,77.6367,43.5181,54.6875,t004,HHYSS
2533237272,232783,3,pierna,swing,-0.3929,0.5045,-0.3467,50.8423,45.8374,92.1020,t004,HHYSS
2533237274,232799,3,pierna,swing,-0.3698,0.4187,-0.4319,24.8413,40.9546,102.8442,t004,HHYSS
2533237332,232815,3,pierna,swing,-0.4653,0.5194,-0.4241,-21.2402,30.3345,115.4785,t004,HHYSS
2533237333,232831,3,pierna,swing,-0.5078,0.5862,-0.3594,-41.4429,32.2876,126.9531,t004,HHYSS
2533237356,232847,3,pierna,swing,-0.5376,0.6884,-0.2700,-41.6260,38.8794,132.2632,t004,HHYSS
2533237387,232863,3,pierna,swing,-0.5310,0.7222,-0.2756,-31.7383,54.7485,138.0005,t004,HHYSS
2533237388,232879,3,pierna,swing,-0.5554,0.7081,-0.3346,-26.7334,59.0820,138.4888,t004,HHYSS
2533237389,232895,3,pierna,swing,-0.5886,0.5050,-0.1401,-43.4570,68.7866,149.6582,t004,HHYSS
2533237389,232911,3,pierna,swing,-0.5939,0.5372,-0.1527,-32.2876,76.8433,153.8696,t004,HHYSS
2533237446,232927,3,pierna,swing,-0.7711,0.7463,-0.3472,-1.0376,83.3130,143.4326,t004,HHYSS
2533237447,232944,3,pierna,swing,-0.8975,0.7004,-0.3396,30.1514,91.4917,145.1416,t004,HHYSS
2533237455,232959,3,pierna,swing,-0.9396,0.3290,-0.3239,31.3110,84.7168,160.2783,t004,HHYSS
2533237498,232975,3,pierna,swing,-0.8683,0.2869,-0.2356,22.2168,72.7539,177.4292,t004,HHYSS
2533237500,232991,3,pierna,swing,-0.8407,0.3809,-0.1777,-0.7324,82.1533,172.1191,t004,HHYSS
2533237502,233007,3,pierna,swing,-0.8845,0.4165,-0.1750,-10.5591,78.7354,167.8467,t004,HHYSS
2533237503,233023,3,pierna,swing,-0.9574,0.3774,-0.1969,-20.8740,56.3965,158.3252,t004,HHYSS
2533237559,233039,3,pierna,swing,-1.0193,0.2760,-0.2032,-22.7661,55.4810,154.1138,t004,HHYSS
2533237559,233055,3,pierna,swing,-0.9731,0.2125,-0.1575,-24.7192,79.7729,154.2969,t004,HHYSS
2533237560,233071,3,pierna,swing,-0.8425,0.1112,0.0486,-35.2173,90.8813,134.4604,t004,HHYSS
2533237612,233087,3,pierna,swing,-0.8629,-0.0824,0.2000,-39.5508,82.6416,116.0278,t004,HHYSS
2533237614,233103,3,pierna,swing,-0.8844,-0.1914,0.1730,-49.4995,50.1709,78.6133,t004,HHYSS
2533237615,233119,3,pierna,swing,-0.8647,-0.1187,0.1385,-55.8472,40.3442,59.8144,t004,HHYSS
2533237640,233135,3,pierna,swing,-0.7948,0.0238,0.2123,-57.8613,36.7432,29.1748,t004,HHYSS
2533237674,233151,3,pierna,swing,-0.6594,0.0176,0.2653,-53.8940,28.1372,19.0430,t004,HHYSS
2533237675,233167,3,pierna,swing,-0.6774,-0.0415,0.0941,-45.1050,-1.5869,-10.2539,t004,HHYSS
2533237675,233183,3,pierna,swing,-0.7169,0.0400,0.0480,-37.2925,-14.9536,-42.8467,t004,HHYSS
2533237676,233199,3,pierna,swing,-0.8035,0.0676,0.0791,-32.8979,-18.0054,-51.3306,t004,HHYSS
2533237729,233215,3,pierna,swing,-0.8245,-0.0037,0.1116,-13.0005,-39.6118,-61.9507,t004,HHYSS
2533237729,233232,3,pierna,swing,-1.3082,0.1788,0.0468,3.1738,-53.5889,-65.0024,t004,HHYSS
2533237730,233248,3,pierna,swing,-2.0726,-0.0264,0.4982,49.6216,-19.3481,-29.9072,t004,HHYSS
2533237783,233264,3,pierna,swing,-1.6157,-0.4617,0.4302,6.9580,-15.3809,-1.8311,t004,HHYSS
2533237784,233280,3,pierna,swing,-0.8866,-0.5282,-0.2540,-23.8037,-56.5186,-27.7100,t004,HHYSS
2533237784,233296,3,pierna,swing,-0.9974,-0.0436,-0.3866,-34.5459,-83.8013,-103.2715,t004,HHYSS
2533237835,233313,3,pierna,swing,-0.8013,0.7626,-0.4404,-29.0527,-32.1655,-92.2241,t004,HHYSS
2533237837,233329,3,pierna,swing,-0.5195,0.9167,-0.5620,-25.2075,-22.0947,-71.4722,t004,HHYSS
2533237838,233345,3,pierna,swing,-0.7716,0.8073,-0.5809,-7.5073,-43.4570,-54.3823,t004,HHYSS
2533237838,233361,3,pierna,swing,-1.3329,0.4846,-0.3569,-0.3662,-42.6025,-41.0767,t004,HHYSS
2533237894,233378,3,pierna,swing,-1.0635,0.2456,-0.1687,1.0986,-12.2681,-10.9863,t004,HHYSS
2533237895,233394,3,pierna,swing,-0.9448,0.1609,-0.0870,2.9907,-13.1226,-9.5215,t004,HHYSS
2533237895,233410,3,pierna,swing,-0.8564,-0.0540,-0.0468,0.1221,-25.6958,-6.5918,t004,HHYSS
2533237948,233426,3,pierna,swing,-0.9094,-0.0936,-0.0919,-11.8408,-39.4287,-7.9956,t004,HHYSS
2533237950,233442,3,pierna,swing,-1.0424,0.0331,-0.1770,-8.1787,-36.8652,-13.4277,t004,HHYSS
2533237950,233459,3,pierna,swing,-1.0261,0.0371,-0.1735,13.7939,-26.6724,-20.0806,t004,HHYSS
2533237951,233475,3,pierna,swing,-1.0051,-0.0216,-0.1703,21.7285,-19.7754,-18.0054,t004,HHYSS
2533237991,233491,3,pierna,swing,-0.9633,-0.0247,-0.1803,19.3481,-18.1274,-17.8833,t004,HHYSS
2533238007,233507,3,pierna,swing,-0.9348,0.0659,-0.1711,13.7329,-16.4185,-24.1699,t004,HHYSS
2533238008,233523,3,pierna,swing,-0.9426,0.2769,-0.1890,14.0381,-16.8457,-27.4658,t004,HHYSS
2533238061,233539,3,pierna,swing,-0.9856,0.3064,-0.1891,17.5781,-15.3809,-23.2544,t004,HHYSS
2533238063,233555,3,pierna,swing,-0.9799,0.2473,-0.1655,18.3105,-12.4512,-13.8550,t004,HHYSS
2533238119,233571,3,pierna,swing,-0.9691,0.1195,-0.1488,19.4092,-13.0005,-13.1226,t004,HHYSS
2533238119,233587,3,pierna,swing,-0.9801,0.0638,-0.1556,19.3481,-14.5264,-12.2681,t004,HHYSS
2533238120,233603,3,pierna,swing,-0.9816,-0.0310,-0.1500,15.5029,-13.2446,-10.4980,t004,HHYSS
2533238120,233619,3,pierna,swing,-0.9680,-0.0059,-0.0531,5.2490,-7.9346,-12.2070,t004,HHYSS
2533238175,233635,3,pierna,swing,-0.9740,0.0300,-0.0209,6.4087,-6.9580,-17.9443,t004,HHYSS
2533238177,233652,3,pierna,swing,-0.9767,0.0325,-0.1018,10.9253,-9.2773,-18.6157,t004,HHYSS
2533238178,233668,3,pierna,swing,-0.9635,0.0300,-0.1750,14.2212,-14.0991,-18.5547,t004,HHYSS
2533238234,233684,3,pierna,swing,-0.9563,0.1195,-0.1832,15.0757,-13.5498,-19.5313,t004,HHYSS
2533238235,233700,3,pierna,swing,-0.9756,0.2125,-0.1107,25.9399,-10.3149,-22.0337,t004,HHYSS
2533238235,233716,3,pierna,swing,-0.9695,0.1938,-0.1128,35.7056,-12.6953,-19.3481,t004,HHYSS
2533238287,233732,3,pierna,swing,-0.9495,0.1383,-0.2179,37.0483,-15.3198,-18.6157,t004,HHYSS
2533238289,233748,3,pierna,swing,-0.9635,0.1401,-0.2460,36.0718,-14.8315,-19.4702,t004,HHYSS
2533238290,233764,3,pierna,swing,-1.0046,0.1028,-0.1909,35.5225,-11.0474,-18.2495,t004,HHYSS
2533238346,233780,3,pierna,swing,-0.9915,-0.0565,-0.1193,32.5928,-6.8970,-11.6577,t004,HHYSS
2533238347,233797,3,pierna,swing,-0.9681,-0.1384,-0.1682,31.9214,-13.8550,-10.1929,t004,HHYSS
2533238347,233813,3,pierna,swing,-0.9139,-0.1614,-0.2975,24.7803,-16.2354,-12.1460,t004,HHYSS
2533238348,233829,3,pierna,swing,-0.9343,0.0353,-0.2762,0.9155,-10.6201,-24.2920,t004,HHYSS
2533238400,233845,3,pierna,swing,-0.9811,0.1884,-0.2023,-1.8311,3.5400,-37.5366,t004,HHYSS
2533238403,233861,3,pierna,swing,-0.9622,0.4230,-0.0352,3.6011,7.3242,-36.0718,t004,HHYSS
2533238403,233877,3,pierna,swing,-0.9076,0.4019,-0.0404,15.1978,-3.4180,-24.3530,t004,HHYSS
2533238458,233894,3,pierna,swing,-0.9045,0.2880,-0.1383,18.7988,-8.5449,-23.8037,t004,HHYSS
2533238459,233910,3,pierna,swing,-0.9558,0.3225,-0.0511,25.5127,-9.6436,-31.1279,t004,HHYSS
2533238459,233926,3,pierna,swing,-0.9515,0.3015,-0.0021,36.1328,-12.5122,-30.4565,t004,HHYSS
2533238460,233942,3,pierna,swing,-0.9402,0.1417,-0.0492,41.0156,-16.2354,-28.0151,t004,HHYSS
2533238512,233958,3,pierna,swing,-0.9667,0.0707,-0.1198,41.8701,-22.8271,-27.5269,t004,HHYSS
2533238514,233974,3,pierna,swing,-1.0126,0.0592,-0.1710,37.3535,-22.9492,-30.3955,t004,HHYSS
2533238539,233990,3,pierna,swing,-1.0266,0.1884,-0.0934,32.6538,-18.8599,-38.5742,t004,HHYSS
2533238575,234007,3,pierna,swing,-1.0219,0.2449,-0.0576,38.1470,-16.1743,-38.5742,t004,HHYSS
2533238575,234023,3,pierna,swing,-1.0579,0.2177,-0.0129,41.0156,-17.3950,-36.0718,t004,HHYSS
2533238629,234039,3,pierna,swing,-1.1232,0.1499,0.0514,40.2832,-15.6860,-38.5742,t004,HHYSS
2533238629,234055,3,pierna,swing,-1.1548,0.0718,0.1752,36.6821,-14.4043,-41.3208,t004,HHYSS
2533238630,234071,3,pierna,swing,-1.1084,0.0287,0.0853,26.1841,-24.7192,-38.9404,t004,HHYSS
2533238631,234087,3,pierna,swing,-1.1013,0.0353,-0.0245,3.0518,-40.5884,-36.9263,t004,HHYSS
2533238632,234103,3,pierna,swing,-1.0337,0.2585,-0.1919,-9.5215,-42.5415,-41.5649,t004,HHYSS
2533238685,234119,3,pierna,swing,-0.9631,0.4255,-0.2369,-21.4844,-41.0156,-52.3682,t004,HHYSS
2533238686,234135,3,pierna,swing,-0.8988,0.6479,-0.3330,-20.3857,-39.6729,-50.3540,t004,HHYSS
2533238686,234151,3,pierna,swing,-0.8979,0.6766,-0.4231,-12.5122,-30.9448,-34.8511,t004,HHYSS
2533238687,234167,3,pierna,swing,-0.8551,0.6388,-0.4296,-10.4980,-9.5825,-21.2402,t004,HHYSS
