timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2532584381,5578703,2,tobillo,swing,-0.0428,-0.9413,0.1774,-13.0615,-8.3008,9.0942,t005,MADCF
2532584438,5578719,2,tobillo,swing,-0.0754,-0.9313,0.2156,-12.8784,-6.8970,13.0615,t005,MADCF
2532584438,5578735,2,tobillo,swing,-0.0629,-0.9238,0.2391,-11.7187,0.9155,21.1182,t005,MADCF
2532584492,5578752,2,tobillo,swing,-0.0670,-0.9315,0.2233,-9.8267,8.9111,29.2969,t005,MADCF
2532584494,5578767,2,tobillo,swing,-0.0844,-0.9707,0.2106,-8.7891,12.5732,33.3252,t005,MADCF
2532584495,5578783,2,tobillo,swing,-0.1116,-0.9993,0.1965,-7.2632,18.7378,41.7480,t005,MADCF
2532584495,5578799,2,tobillo,swing,-0.1266,-1.1232,0.1334,-6.6528,19.2871,51.2085,t005,MADCF
2532584495,5578815,2,tobillo,swing,-0.1139,-1.2062,0.1025,-6.7749,15.9302,56.2744,t005,MADCF
2532584548,5578831,2,tobillo,swing,-0.1366,-1.2039,0.1295,-5.9814,3.5400,66.1011,t005,MADCF
2532584549,5578847,2,tobillo,swing,-0.2101,-1.1802,0.2610,-4.8218,-2.5024,70.1294,t005,MADCF
2532584549,5578863,2,tobillo,swing,0.0590,-1.1355,0.4719,-4.1504,-1.7700,70.5566,t005,MADCF
2532584598,5578879,2,tobillo,swing,0.2507,-1.0520,0.4797,-8.6670,18.7988,59.2651,t005,MADCF
2532584601,5578895,2,tobillo,swing,0.2781,-0.9186,0.3805,-10.1318,29.7852,50.5371,t005,MADCF
2532584602,5578911,2,tobillo,swing,0.2289,-0.8934,0.3053,-11.7187,49.3774,35.1563,t005,MADCF
2532584655,5578927,2,tobillo,swing,0.1729,-0.8669,0.1964,-12.9395,54.3823,31.8603,t005,MADCF
2532584656,5578943,2,tobillo,swing,0.3884,-0.7987,0.0950,-16.4795,53.8940,23.1934,t005,MADCF
2532584656,5578959,2,tobillo,swing,0.5265,-0.7689,0.0505,-17.3950,45.9595,8.6670,t005,MADCF
2532584657,5578975,2,tobillo,swing,0.5959,-0.7595,-0.0031,-16.7236,39.1846,2.3193,t005,MADCF
2532584706,5578991,2,tobillo,swing,0.4639,-0.7765,0.0242,-14.9536,18.3716,-8.2397,t005,MADCF
2532584707,5579007,2,tobillo,swing,0.3727,-0.8021,0.0731,-13.7939,-3.2349,-15.1367,t005,MADCF
2532584708,5579023,2,tobillo,swing,0.2037,-0.9083,0.1866,-13.6719,-9.2163,-16.7236,t005,MADCF
2532584762,5579039,2,tobillo,swing,0.1414,-0.9576,0.2345,-13.6719,-9.6436,-17.0898,t005,MADCF
2532584762,5579055,2,tobillo,swing,0.1010,-1.0043,0.2949,-12.8174,-7.5684,-16.9067,t005,MADCF
2532584763,5579072,2,tobillo,swing,0.0803,-1.0519,0.3429,-10.1318,-3.7842,-16.0522,t005,MADCF
2532584812,5579088,2,tobillo,swing,0.0524,-1.0887,0.3536,-7.5684,3.6621,-13.5498,t005,MADCF
2532584814,5579104,2,tobillo,swing,-0.0098,-1.1093,0.2994,-7.2021,7.7515,-9.2163,t005,MADCF
2532584816,5579120,2,tobillo,swing,-0.0524,-1.0251,0.2299,-5.0049,6.5308,8.3618,t005,MADCF
2532584816,5579136,2,tobillo,swing,-0.0372,-1.0323,0.2264,1.8311,-5.6763,30.2734,t005,MADCF
2532584869,5579152,2,tobillo,swing,0.0210,-1.0605,0.1860,5.6152,-13.2446,39.6729,t005,MADCF
2532584870,5579168,2,tobillo,swing,0.0449,-1.0510,0.1420,12.5122,-28.8086,52.2461,t005,MADCF
2532584870,5579183,2,tobillo,swing,0.0540,-1.0822,0.1146,14.2822,-36.0718,56.2134,t005,MADCF
2532584919,5579199,2,tobillo,swing,0.0731,-1.1338,0.1147,14.4653,-45.3491,61.8896,t005,MADCF
2532584921,5579215,2,tobillo,swing,0.1523,-1.1176,0.0819,12.6953,-48.4009,67.8711,t005,MADCF
2532584922,5579231,2,tobillo,swing,0.1478,-1.0925,-0.0874,14.1602,-52.9175,70.4346,t005,MADCF
2532584975,5579247,2,tobillo,swing,0.0309,-1.1017,-0.0111,18.5547,-60.1807,70.8008,t005,MADCF
2532584976,5579263,2,tobillo,swing,-0.0121,-1.1030,0.0748,19.1040,-60.4858,62.5000,t005,MADCF
