timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2532760196,5899894,3,pierna,loading,-0.9637,-0.1547,-0.1379,2.0142,-0.1831,-0.7324,t008,MADCF
2532760199,5899910,3,pierna,loading,-0.9656,-0.1514,-0.1179,1.9531,-0.4883,-0.6714,t008,MADCF
2532760245,5899926,3,pierna,loading,-0.9666,-0.1449,-0.1063,2.2583,-0.2441,-0.9155,t008,MADCF
2532760246,5899942,3,pierna,loading,-0.9709,-0.1355,-0.0934,2.6855,0.3052,-1.0376,t008,MADCF
2532760247,5899959,3,pierna,loading,-0.9634,-0.1475,-0.1088,2.9297,1.3428,-1.2817,t008,MADCF
2532760289,5899975,3,pierna,loading,-0.9611,-0.1543,-0.1243,1.7090,0.7324,-1.2207,t008,MADCF
2532760290,5899991,3,pierna,loading,-0.9539,-0.1556,-0.1658,0.3052,-0.3052,-1.1597,t008,MADCF
2532760334,5900007,3,pierna,loading,-0.9514,-0.1550,-0.1747,-2.6245,-2.9297,-0.9155,t008,MADCF
2532760335,5900023,3,pierna,loading,-0.9707,-0.1461,-0.1515,-3.0518,-3.7231,-0.9155,t008,MADCF
2532760335,5900039,3,pierna,loading,-0.9794,-0.1404,-0.1096,-0.9766,-2.9907,-1.5259,t008,MADCF
2532760377,5900056,3,pierna,loading,-0.9796,-0.1302,-0.0980,2.1973,-1.7700,-2.0142,t008,MADCF
2532760378,5900072,3,pierna,loading,-0.9795,-0.0984,-0.1049,3.8452,-1.3428,-2.0752,t008,MADCF
2532760378,5900088,3,pierna,loading,-0.9772,-0.0907,-0.1180,7.7515,-0.6104,-2.3804,t008,MADCF
2532760422,5900104,3,pierna,loading,-0.9727,-0.1023,-0.1527,10.3760,0.0000,-2.8076,t008,MADCF
2532760423,5900120,3,pierna,loading,-0.9684,-0.1285,-0.1560,10.4370,0.1831,-2.8687,t008,MADCF
2532760458,5900136,3,pierna,loading,-0.9619,-0.1350,-0.1488,9.3384,0.1221,-2.9907,t008,MADCF
2532760464,5900152,3,pierna,loading,-0.9620,-0.1487,-0.1384,8.9722,0.3052,-2.8687,t008,MADCF
2532760466,5900168,3,pierna,loading,-0.9628,-0.1520,-0.1414,7.9346,1.5259,-2.1973,t008,MADCF
2532760511,5900184,3,pierna,loading,-0.9683,-0.1309,-0.1489,7.4463,1.4038,-1.9531,t008,MADCF
2532760511,5900200,3,pierna,loading,-0.9597,-0.0870,-0.1394,7.6294,-0.9155,-1.8311,t008,MADCF
2532760511,5900216,3,pierna,loading,-0.9723,-0.0731,-0.1323,10.4980,-1.7700,-1.4648,t008,MADCF
2532760554,5900233,3,pierna,loading,-0.9777,-0.1416,-0.1511,10.8032,-0.0610,-1.7700,t008,MADCF
2532760554,5900249,3,pierna,loading,-0.9702,-0.1776,-0.1515,8.1787,3.1128,-2.3193,t008,MADCF
2532760555,5900265,3,pierna,loading,-0.9492,-0.1931,-0.1395,4.7607,0.8545,-2.6855,t008,MADCF
2532760600,5900281,3,pierna,loading,-0.9430,-0.1505,-0.1201,2.8687,-1.3428,-2.6855,t008,MADCF
2532760600,5900297,3,pierna,loading,-0.9598,-0.1243,-0.1067,2.0752,-3.8452,-1.9531,t008,MADCF
2532760621,5900313,3,pierna,loading,-0.9781,-0.0940,-0.0842,3.4790,-3.2349,-1.9531,t008,MADCF
2532760641,5900330,3,pierna,loading,-0.9694,-0.1107,-0.0773,8.6060,-2.0752,-3.0518,t008,MADCF
2532760643,5900346,3,pierna,loading,-0.9650,-0.1268,-0.0865,11.3525,-3.0518,-3.9673,t008,MADCF
2532760689,5900362,3,pierna,loading,-0.9512,-0.1411,-0.1069,10.8643,-3.7842,-4.0894,t008,MADCF
2532760689,5900378,3,pierna,loading,-0.9500,-0.1364,-0.1206,9.0332,-5.3101,-3.8452,t008,MADCF
2532760690,5900395,3,pierna,loading,-0.9515,-0.1393,-0.1578,8.5449,-5.7373,-3.7231,t008,MADCF
2532760732,5900411,3,pierna,loading,-0.9535,-0.1434,-0.1442,8.4229,-7.2021,-3.2349,t008,MADCF
2532760733,5900427,3,pierna,loading,-0.9606,-0.1315,-0.1221,8.3618,-9.3994,-3.0518,t008,MADCF
2532760734,5900443,3,pierna,loading,-0.9792,-0.1144,-0.0768,9.1553,-9.5215,-3.5400,t008,MADCF
2532760783,5900460,3,pierna,loading,-0.9832,-0.1146,-0.0691,11.6577,-8.0566,-5.0049,t008,MADCF
2532760784,5900476,3,pierna,loading,-0.9656,-0.1171,-0.1107,12.3291,-7.3853,-5.7983,t008,MADCF
2532760784,5900492,3,pierna,loading,-0.9443,-0.1340,-0.1747,12.3901,-7.3853,-7.2021,t008,MADCF
2532760827,5900508,3,pierna,loading,-0.9398,-0.1414,-0.1843,11.9019,-8.4229,-7.6294,t008,MADCF
2532760828,5900524,3,pierna,loading,-0.9561,-0.1282,-0.1721,11.3525,-8.9722,-7.4463,t008,MADCF
2532760829,5900541,3,pierna,loading,-0.9746,-0.1023,-0.1537,11.3525,-8.5449,-7.5073,t008,MADCF
2532760875,5900557,3,pierna,loading,-0.9668,-0.1036,-0.1504,11.8408,-6.7749,-8.1787,t008,MADCF
2532760875,5900573,3,pierna,loading,-0.9336,-0.0789,-0.2074,10.9863,-7.6294,-8.5449,t008,MADCF
2532760917,5900589,3,pierna,loading,-0.9438,-0.0513,-0.2629,10.6812,-12.2681,-10.0708,t008,MADCF
2532760918,5900606,3,pierna,loading,-0.9424,-0.0846,-0.3184,12.7563,-13.4888,-10.4370,t008,MADCF
2532760919,5900622,3,pierna,loading,-0.9197,-0.1503,-0.2936,16.7236,-14.5264,-8.7891,t008,MADCF
2532760969,5900638,3,pierna,loading,-0.9507,-0.1621,-0.2665,16.8457,-14.0991,-5.3101,t008,MADCF
2532760970,5900654,3,pierna,loading,-0.9976,-0.1567,-0.1938,15.8081,-12.8784,-5.4321,t008,MADCF
2532760970,5900670,3,pierna,loading,-1.0092,-0.1201,-0.1614,11.1084,-10.9253,-9.2163,t008,MADCF
