timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2527956009,1095480,3,tobillo,loading,-0.9738,-0.0848,-0.0925,10.4980,0.3052,-4.1504,t001,MBYRA
2527956009,1095496,3,tobillo,loading,-0.9846,-0.0791,-0.0967,8.4839,1.4038,-4.7607,t001,MBYRA
2527956009,1095512,3,tobillo,loading,-0.9924,-0.0850,-0.1113,5.2490,2.8076,-6.1035,t001,MBYRA
2527956063,1095528,3,tobillo,loading,-0.9984,-0.0999,-0.1221,2.0752,3.0518,-6.1646,t001,MBYRA
2527956063,1095544,3,tobillo,loading,-0.9728,-0.0726,-0.1154,-5.7373,2.7466,-6.5918,t001,MBYRA
2527956064,1095560,3,tobillo,loading,-0.9640,-0.0519,-0.1140,-7.2021,2.2583,-8.3618,t001,MBYRA
2527956110,1095576,3,tobillo,loading,-0.9813,-0.0463,-0.1196,-6.3477,2.1973,-8.7891,t001,MBYRA
2527956112,1095592,3,tobillo,loading,-0.9961,-0.0546,-0.1110,-8.6060,-0.4272,-8.2397,t001,MBYRA
2527956113,1095608,3,tobillo,loading,-1.0032,-0.0667,-0.0365,-11.7798,-1.8921,-8.2397,t001,MBYRA
2527956147,1095624,3,tobillo,loading,-1.0260,-0.0659,0.0284,-20.1416,-2.0752,-9.7656,t001,MBYRA
2527956163,1095641,3,tobillo,loading,-1.0593,-0.0791,0.0529,-26.3672,-0.8545,-10.1929,t001,MBYRA
2527956164,1095657,3,tobillo,loading,-1.1166,-0.1603,0.1147,-28.1372,0.6714,-9.3384,t001,MBYRA
2527956172,1095673,3,tobillo,loading,-1.1398,-0.2014,0.1357,-35.4004,6.4697,-4.8828,t001,MBYRA
2527956211,1095689,3,tobillo,loading,-1.1661,-0.2571,0.1946,-37.9639,9.8267,-0.9155,t001,MBYRA
2527956212,1095705,3,tobillo,loading,-1.1808,-0.2811,0.2983,-39.6118,20.2637,10.1929,t001,MBYRA
2527956227,1095721,3,tobillo,loading,-1.1754,-0.2664,0.3275,-35.6445,42.1753,21.9116,t001,MBYRA
2527956262,1095737,3,tobillo,loading,-1.1376,-0.1660,0.2480,-32.7148,55.4199,27.8931,t001,MBYRA
2527956262,1095753,3,tobillo,loading,-1.1248,-0.0833,0.2113,-36.1938,76.8433,39.7949,t001,MBYRA
2527956262,1095769,3,tobillo,loading,-1.0482,0.0830,0.0602,-36.3770,83.0078,44.4336,t001,MBYRA
2527956308,1095785,3,tobillo,loading,-0.9469,0.2643,-0.1929,-27.5879,84.7168,51.9409,t001,MBYRA
2527956310,1095801,3,tobillo,loading,-0.9323,0.2765,-0.1489,-18.8599,74.1577,49.9268,t001,MBYRA
2527956310,1095817,3,tobillo,loading,-0.9182,0.1642,0.0558,-12.6953,72.0825,46.5088,t001,MBYRA
2527956361,1095833,3,tobillo,loading,-0.8744,0.1034,-0.0581,16.1133,58.6548,39.9780,t001,MBYRA
2527956361,1095849,3,tobillo,loading,-0.7915,0.0323,-0.3516,31.4941,38.9404,34.3018,t001,MBYRA
2527956362,1095865,3,tobillo,loading,-0.7559,-0.0554,-0.3350,36.9263,1.6479,19.9585,t001,MBYRA
2527956408,1095881,3,tobillo,loading,-0.7036,-0.2668,-0.2043,30.2124,-5.7983,15.8081,t001,MBYRA
