timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2528187120,1181269,2,pierna,loading,-0.1929,0.9584,-0.0518,-0.3052,-0.4272,0.1221,t006,MBYRA
2528187121,1181285,2,pierna,loading,-0.1949,0.9583,-0.0521,0.2441,-0.4272,0.0000,t006,MBYRA
2528187121,1181301,2,pierna,loading,-0.1980,0.9567,-0.0536,0.4883,-0.1831,-0.1221,t006,MBYRA
2528187156,1181317,2,pierna,loading,-0.1979,0.9554,-0.0520,0.3662,0.3052,-0.3052,t006,MBYRA
2528187158,1181333,2,pierna,loading,-0.1956,0.9567,-0.0485,-0.2441,0.6714,-0.3052,t006,MBYRA
2528187195,1181349,2,pierna,loading,-0.1917,0.9576,-0.0493,-0.4272,0.7935,-0.2441,t006,MBYRA
2528187196,1181365,2,pierna,loading,-0.1895,0.9559,-0.0486,-0.3662,0.6714,0.1831,t006,MBYRA
2528187231,1181381,2,pierna,loading,-0.1907,0.9580,-0.0537,-0.4272,0.5493,0.4272,t006,MBYRA
2528187232,1181397,2,pierna,loading,-0.1965,0.9611,-0.0601,-0.2441,0.3662,0.9155,t006,MBYRA
2528187256,1181413,2,pierna,loading,-0.1971,0.9625,-0.0627,0.1221,0.6104,1.2207,t006,MBYRA
2528187269,1181428,2,pierna,loading,-0.1932,0.9597,-0.0592,0.2441,0.3662,1.4038,t006,MBYRA
2528187269,1181444,2,pierna,loading,-0.1923,0.9559,-0.0531,0.3662,-0.2441,1.7090,t006,MBYRA
2528187304,1181460,2,pierna,loading,-0.1962,0.9552,-0.0483,0.3662,-0.2441,1.8311,t006,MBYRA
2528187305,1181476,2,pierna,loading,-0.1991,0.9591,-0.0537,0.3052,0.1221,1.8921,t006,MBYRA
2528187343,1181492,2,pierna,loading,-0.1957,0.9565,-0.0540,0.8545,0.3662,1.5259,t006,MBYRA
2528187344,1181508,2,pierna,loading,-0.1842,0.9478,-0.0502,1.2207,0.1221,1.4648,t006,MBYRA
