timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
56945676,451502,2,thigh,loading,-0.0299,-0.9910,0.0187,2.3804,-15.0757,6.7139,t008,diego
56945727,451518,2,thigh,loading,0.0281,-0.9880,-0.0031,2.1973,-15.7471,8.0566,t008,diego
56945728,451533,2,thigh,loading,0.0485,-1.0001,-0.0009,1.9531,-19.4702,11.7187,t008,diego
56945728,451549,2,thigh,loading,0.0988,-1.0109,0.0355,1.0376,-22.2778,13.6719,t008,diego
56945775,451565,2,thigh,loading,0.1644,-1.0258,0.0751,-1.5259,-26.9165,17.6392,t008,diego
56945775,451580,2,thigh,loading,0.1779,-1.0204,0.0847,-3.2349,-29.1748,20.0806,t008,diego
56945777,451596,2,thigh,loading,0.1201,-0.9904,0.0487,-6.4697,-33.0811,22.8271,t008,diego
56945828,451611,2,thigh,loading,0.0934,-0.9720,0.0338,-7.3853,-35.5835,22.3999,t008,diego
56945828,451627,2,thigh,loading,0.0941,-0.9487,0.0111,-7.0190,-37.4146,22.5830,t008,diego
56945829,451642,2,thigh,loading,0.0731,-0.9630,-0.0005,-3.9062,-41.7480,22.5830,t008,diego
56945842,451658,2,thigh,loading,0.0448,-0.9839,0.0001,-2.5024,-42.6636,21.8506,t008,diego
56945874,451674,2,thigh,loading,0.0551,-0.9879,0.0084,-1.5259,-41.1987,19.4702,t008,diego
56945875,451689,2,thigh,loading,0.0594,-0.9934,0.0249,-2.0142,-39.4897,17.9443,t008,diego
56945876,451705,2,thigh,loading,0.0540,-0.9954,0.0201,-3.3569,-34.2407,15.6860,t008,diego
56945929,451720,2,thigh,loading,0.0520,-0.9956,0.0009,-3.6011,-31.0669,15.2588,t008,diego
56945929,451736,2,thigh,loading,0.0720,-1.0010,-0.0107,-3.7231,-24.7192,15.3809,t008,diego
56945929,451752,2,thigh,loading,0.0730,-1.0040,-0.0181,-3.7231,-18.9209,15.0757,t008,diego
