timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
57012808,483147,1,pierna,swing,0.8773,-0.2333,-0.3765,2.9297,-1.9531,-2.6245,t009,diego
57012809,483163,1,pierna,swing,0.8867,-0.2190,-0.3691,5.0659,-2.9297,-2.5024,t009,diego
57012809,483179,1,pierna,swing,0.8889,-0.2129,-0.3706,6.7139,-3.3569,-2.6245,t009,diego
57012846,483194,1,pierna,swing,0.8804,-0.2374,-0.3722,8.0566,-3.2959,-3.6011,t009,diego
57012848,483210,1,pierna,swing,0.8757,-0.2662,-0.3761,6.7139,-3.3569,-3.7231,t009,diego
57012890,483226,1,pierna,swing,0.8807,-0.2151,-0.3959,1.7700,-3.7231,-2.2583,t009,diego
57012890,483242,1,pierna,swing,0.8650,-0.1919,-0.4043,-1.0986,-2.8687,-1.0376,t009,diego
57012891,483257,1,pierna,swing,0.8774,-0.1975,-0.4052,-0.9766,-2.0142,-1.3428,t009,diego
57012929,483273,1,pierna,swing,0.8839,-0.2089,-0.4062,2.3804,-2.0142,-3.6011,t009,diego
57012930,483289,1,pierna,swing,0.8770,-0.2313,-0.4033,4.2725,-2.6245,-4.3945,t009,diego
57012972,483305,1,pierna,swing,0.8774,-0.2129,-0.4061,2.3804,-2.7466,-3.5400,t009,diego
57012972,483320,1,pierna,swing,0.8682,-0.2090,-0.4054,-1.7090,-1.2817,-2.4414,t009,diego
57012973,483336,1,pierna,swing,0.8629,-0.2205,-0.4036,-2.1973,-0.6104,-2.3804,t009,diego
57013010,483352,1,pierna,swing,0.8713,-0.2227,-0.4043,-2.9297,0.1831,-2.5635,t009,diego
57013012,483368,1,pierna,swing,0.8802,-0.2141,-0.3951,-3.7231,0.3662,-2.5635,t009,diego
57013027,483383,1,pierna,swing,0.8956,-0.2007,-0.3853,-4.2114,0.4883,-2.5635,t009,diego
57013053,483399,1,pierna,swing,0.8889,-0.2097,-0.3810,-4.3335,0.0610,-3.0518,t009,diego
57013054,483414,1,pierna,swing,0.8706,-0.2263,-0.3774,-5.2490,0.2441,-3.2349,t009,diego
57013093,483430,1,pierna,swing,0.8757,-0.2139,-0.3828,-8.4229,1.0376,-2.8076,t009,diego
57013093,483446,1,pierna,swing,0.8831,-0.2013,-0.3864,-9.1553,1.3428,-2.6855,t009,diego
57013094,483462,1,pierna,swing,0.8716,-0.2333,-0.3730,-8.1787,2.0142,-3.6011,t009,diego
57013135,483477,1,pierna,swing,0.8757,-0.2377,-0.3622,-8.1177,2.6855,-4.1504,t009,diego
57013135,483493,1,pierna,swing,0.8926,-0.2179,-0.3553,-8.5449,3.0518,-3.9673,t009,diego
57013172,483509,1,pierna,swing,0.9004,-0.2069,-0.3577,-8.1177,3.4180,-3.6621,t009,diego
57013174,483524,1,pierna,swing,0.8972,-0.2065,-0.3625,-7.2021,3.4790,-3.8452,t009,diego
57013175,483540,1,pierna,swing,0.8801,-0.2385,-0.3594,-5.8594,3.9673,-4.8218,t009,diego
57013215,483556,1,pierna,swing,0.8787,-0.2472,-0.3519,-8.3618,5.3711,-5.1270,t009,diego
57013216,483572,1,pierna,swing,0.8962,-0.2256,-0.3437,-10.3149,6.2866,-4.8218,t009,diego
57013252,483587,1,pierna,swing,0.9021,-0.2135,-0.3414,-11.6577,6.7749,-4.8828,t009,diego
57013254,483603,1,pierna,swing,0.9072,-0.2278,-0.3092,-10.1929,6.2256,-5.6763,t009,diego
57013255,483619,1,pierna,swing,0.9102,-0.2538,-0.2896,-4.7607,4.6387,-7.6904,t009,diego
57013296,483635,1,pierna,swing,0.9138,-0.3011,-0.2526,-2.2583,1.6479,-8.1787,t009,diego
57013297,483650,1,pierna,swing,0.9261,-0.3075,-0.1974,-2.1362,-0.1221,-7.6904,t009,diego
57013297,483666,1,pierna,swing,0.9325,-0.3055,-0.1544,-1.3428,-3.8452,-6.7749,t009,diego
57013333,483682,1,pierna,swing,0.9655,-0.3165,-0.0665,-0.2441,-6.1646,-5.9814,t009,diego
57013335,483698,1,pierna,swing,0.9769,-0.3219,-0.0226,4.3335,-12.7563,-4.5166,t009,diego
57013379,483713,1,pierna,swing,0.9905,-0.3513,0.0068,3.6011,-14.8926,-4.9438,t009,diego
57013379,483729,1,pierna,swing,1.0387,-0.3615,-0.0261,-0.6104,-22.3389,-4.8828,t009,diego
57013380,483745,1,pierna,swing,1.0455,-0.3624,-0.0468,-6.7749,-30.9448,-3.8452,t009,diego
57013418,483761,1,pierna,swing,1.0873,-0.3400,-0.0884,-7.8735,-33.7524,-2.0752,t009,diego
57013423,483776,1,pierna,swing,1.1227,-0.3217,-0.1233,-6.9580,-36.5601,1.6479,t009,diego
57013423,483792,1,pierna,swing,1.1600,-0.2460,-0.2406,-3.3569,-37.7197,1.8311,t009,diego
57013472,483808,1,pierna,swing,1.1211,-0.2169,-0.2922,-1.5259,-38.6963,-0.1221,t009,diego
57013472,483823,1,pierna,swing,1.1013,-0.2596,-0.2933,-9.0942,-39.7339,0.1831,t009,diego
57013473,483839,1,pierna,swing,0.9923,-0.2968,-0.3335,-9.0942,-38.8794,-1.2817,t009,diego
57013510,483855,1,pierna,loading,1.0034,-0.3059,-0.3730,-2.8076,-40.7104,-1.2817,t009,diego
57013512,483871,1,pierna,loading,0.9709,-0.2488,-0.3986,-1.5869,-42.0532,0.9155,t009,diego
57013529,483886,1,pierna,loading,0.9069,-0.2120,-0.4216,-2.3193,-41.7480,0.3662,t009,diego
57013554,483902,1,pierna,loading,0.8923,-0.1943,-0.4438,1.5259,-36.3770,0.2441,t009,diego
57013554,483917,1,pierna,loading,0.9792,-0.2444,-0.5089,2.4414,-32.5317,2.6855,t009,diego
57013592,483933,1,pierna,loading,0.9655,-0.2177,-0.4882,0.4272,-35.7056,9.8877,t009,diego
57013594,483949,1,pierna,loading,0.8544,-0.1466,-0.4004,-0.7935,-38.3911,9.8267,t009,diego
57013595,483964,1,pierna,loading,0.8470,-0.1287,-0.3981,8.9722,-33.5083,4.8828,t009,diego
57013635,483980,1,pierna,loading,0.9236,-0.1755,-0.4332,18.1274,-41.8091,1.4648,t009,diego
57013635,483996,1,pierna,loading,0.8787,-0.2084,-0.4072,20.7520,-50.1709,0.6714,t009,diego
57013675,484011,1,pierna,loading,0.8051,-0.2256,-0.3683,22.0337,-53.7109,-3.1738,t009,diego
57013675,484027,1,pierna,loading,0.7982,-0.2837,-0.3198,20.5688,-50.2930,-4.7607,t009,diego
57013676,484042,1,pierna,loading,0.8250,-0.2958,-0.3112,13.1226,-44.5557,-4.2725,t009,diego
57013716,484058,1,pierna,loading,0.8326,-0.2588,-0.2867,8.6670,-43.4570,-2.9297,t009,diego
57013717,484074,1,pierna,loading,0.8303,-0.2206,-0.2631,2.3193,-40.7715,-0.6714,t009,diego
57013754,484089,1,pierna,loading,0.8401,-0.2172,-0.2568,-2.2583,-37.6587,-0.0610,t009,diego
57013754,484105,1,pierna,loading,0.8479,-0.2285,-0.2430,-3.9673,-36.4990,0.0610,t009,diego
57013756,484121,1,pierna,loading,0.8500,-0.2317,-0.2330,-6.5308,-34.5459,-0.0610,t009,diego
57013797,484137,1,pierna,loading,0.8638,-0.2443,-0.2057,-7.2632,-33.8135,-0.4272,t009,diego
57013797,484152,1,pierna,loading,0.8799,-0.2833,-0.1738,-9.2773,-32.7148,-0.0610,t009,diego
57013799,484168,1,pierna,loading,0.8807,-0.2797,-0.1558,-11.7187,-31.0669,0.9155,t009,diego
57013836,484184,1,pierna,loading,0.8784,-0.2391,-0.1001,-11.9019,-29.9683,1.8921,t009,diego
57013837,484200,1,pierna,loading,0.9025,-0.2203,-0.0820,-8.7280,-27.1606,4.4556,t009,diego
57013877,484215,1,pierna,loading,0.9192,-0.2521,-0.0605,-5.7373,-26.0620,6.8970,t009,diego
57013878,484231,1,pierna,loading,0.9294,-0.2627,-0.0446,2.6855,-26.6113,9.5215,t009,diego
57013878,484246,1,pierna,loading,0.9391,-0.2704,-0.0359,8.0566,-27.4658,7.8735,t009,diego
57013916,484262,1,pierna,loading,0.9473,-0.2732,-0.0352,8.5449,-26.5503,7.8125,t009,diego
57013918,484278,1,pierna,loading,0.9268,-0.2747,-0.0552,7.9956,-21.8506,6.8970,t009,diego
57013959,484293,1,pierna,loading,0.8741,-0.2793,-0.0416,10.1318,-20.0195,5.4321,t009,diego
57013960,484309,1,pierna,loading,0.8750,-0.2705,-0.0231,16.3574,-17.2729,3.7231,t009,diego
57013960,484324,1,pierna,loading,0.8785,-0.2612,-0.0188,19.1650,-14.6484,3.8452,t009,diego
57013999,484340,1,pierna,loading,0.8434,-0.2480,-0.0405,23.8037,-8.9111,4.9438,t009,diego
57014000,484355,1,pierna,loading,0.8232,-0.2388,-0.0347,22.8882,-7.2021,8.5449,t009,diego
57014014,484371,1,pierna,loading,0.8188,-0.2224,0.0018,22.6440,-5.6763,10.6201,t009,diego
57014040,484386,1,pierna,loading,0.8287,-0.2271,0.0085,24.1699,-1.2817,12.4512,t009,diego
57014040,484402,1,pierna,loading,0.8154,-0.2340,-0.0038,26.0620,1.4038,12.0239,t009,diego
57014076,484418,1,pierna,loading,0.8219,-0.2382,-0.0021,30.8838,7.0801,11.9019,t009,diego
57014077,484433,1,pierna,loading,0.8800,-0.2219,0.0006,33.6914,7.1411,11.9629,t009,diego
57014084,484448,1,pierna,loading,0.8489,-0.2135,0.0276,23.3154,5.1880,13.1836,t009,diego
57014116,484464,1,pierna,loading,0.8403,-0.2047,0.0078,19.9585,14.2822,12.2070,t009,diego
57014116,484479,1,pierna,loading,0.9063,-0.1947,0.0172,29.3579,17.4561,8.6670,t009,diego
57014153,484494,1,pierna,loading,0.9690,-0.2133,0.0050,46.8140,24.9634,3.9062,t009,diego
57014153,484510,1,pierna,loading,1.1768,-0.2423,0.0385,48.5840,28.9307,5.4321,t009,diego
57014178,484525,1,pierna,loading,1.3317,-0.2598,0.1165,47.9126,20.0195,6.0425,t009,diego
57014192,484541,1,pierna,loading,1.4210,-0.4268,0.3490,44.3726,5.5542,-2.5635,t009,diego
57014193,484556,1,pierna,loading,1.1685,-0.7771,0.4653,65.0024,-19.3481,-38.1470,t009,diego
57014227,484572,1,pierna,loading,1.0088,-0.8634,0.3212,96.0693,-5.9204,-46.0815,t009,diego
57014229,484587,1,pierna,loading,0.8680,-0.5083,-0.0936,81.6650,6.1035,-29.6631,t009,diego
57014268,484603,1,pierna,loading,0.8188,-0.2477,-0.2545,31.2500,23.4375,9.5215,t009,diego
57014268,484618,1,pierna,loading,0.7147,-0.0331,-0.3561,16.7847,31.0059,20.6909,t009,diego
57014269,484634,1,pierna,loading,0.7460,-0.0502,-0.4005,13.3667,37.3535,23.4985,t009,diego
57014304,484649,1,pierna,loading,0.8668,-0.1827,-0.5851,8.4229,36.9873,23.0103,t009,diego
57014305,484665,1,pierna,loading,0.8578,-0.2760,-0.5565,-24.5361,38.2080,28.4424,t009,diego
57014344,484681,1,pierna,loading,0.8556,-0.1652,-0.5050,-34.1187,48.3398,24.2310,t009,diego
57014344,484696,1,pierna,loading,1.0082,0.1125,-0.4617,-22.8271,54.2603,19.1650,t009,diego
57014345,484712,1,pierna,loading,1.0775,0.1470,-0.4750,7.6904,57.2510,16.9067,t009,diego
57014380,484727,1,pierna,loading,0.9902,-0.0270,-0.4698,23.4375,51.2085,15.5640,t009,diego
57014382,484743,1,pierna,midstance,0.9080,-0.1350,-0.4313,37.5366,36.1938,4.3335,t009,diego
57014422,484758,1,pierna,midstance,0.8384,-0.2620,-0.3776,33.0200,33.5083,-0.4883,t009,diego
57014423,484774,1,pierna,midstance,0.8534,-0.2544,-0.3569,11.7187,39.7339,2.3804,t009,diego
57014423,484789,1,pierna,midstance,0.8011,-0.2487,-0.3655,-8.8501,48.7671,11.0474,t009,diego
57014460,484805,1,pierna,midstance,0.7964,-0.2351,-0.3043,-11.5356,53.4058,13.5498,t009,diego
57014462,484821,1,pierna,midstance,0.9821,-0.1802,-0.2773,-4.8218,61.4624,14.4653,t009,diego
57014502,484836,1,pierna,midstance,1.0502,-0.1099,-0.3060,2.9907,56.0303,10.2539,t009,diego
57014502,484852,1,pierna,midstance,1.0051,-0.1146,-0.2855,12.6343,42.2974,4.0894,t009,diego
57014503,484867,1,pierna,midstance,0.9473,-0.1337,-0.2549,11.4136,39.5508,4.5166,t009,diego
57014540,484883,1,pierna,midstance,0.9341,-0.1144,-0.2822,8.4839,38.3301,4.3945,t009,diego
57014542,484898,1,pierna,midstance,0.9200,-0.1064,-0.3071,8.6670,38.6963,4.5166,t009,diego
57014577,484914,1,pierna,midstance,0.9169,-0.1300,-0.3674,7.3853,41.0156,5.4321,t009,diego
57014587,484930,1,pierna,midstance,0.9226,-0.1454,-0.4061,1.8921,43.4570,5.4321,t009,diego
57014588,484945,1,pierna,midstance,0.9021,-0.1454,-0.4493,0.5493,42.7246,4.6997,t009,diego
57014591,484961,1,pierna,midstance,0.9143,-0.1136,-0.4666,2.1973,40.8936,4.6387,t009,diego
57014633,484976,1,pierna,midstance,0.9226,-0.0967,-0.4697,4.2114,39.6118,5.4321,t009,diego
57014634,484992,1,pierna,midstance,0.9014,-0.1111,-0.4760,4.8828,38.7573,5.0049,t009,diego
57014674,485007,1,pierna,midstance,0.9069,-0.1228,-0.4767,5.8594,33.2642,1.9531,t009,diego
