timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2339849,1389508,2,thigh,swing,-0.2001,-0.3224,0.6392,-227.6611,294.4946,-167.5415,t001,s001
2339850,1389524,2,thigh,swing,-0.1664,-0.3612,0.5276,-210.5713,272.7051,-195.1904,t001,s001
2339850,1389539,2,thigh,swing,0.0757,-0.5737,0.0533,-136.6577,230.4687,-198.9136,t001,s001
2339851,1389555,2,thigh,swing,0.1741,-0.6379,0.2068,-131.5308,99.1211,-155.5786,t001,s001
2339851,1389570,2,thigh,swing,0.1315,-0.6487,0.6676,-112.3047,48.0957,-122.6196,t001,s001
2339852,1389586,2,thigh,swing,0.0481,-0.6925,0.7687,10.9863,-6.2866,-48.1567,t001,s001
2339933,1389602,2,thigh,swing,0.0403,-0.5942,0.8485,15.0757,-21.1792,-7.4463,t001,s001
2339936,1389617,2,thigh,swing,0.0651,-0.2667,0.9646,38.8184,-33.3862,52.9785,t001,s001
2339936,1389633,2,thigh,swing,0.0490,-0.1549,0.9885,36.5601,-27.4658,60.3638,t001,s001
2339936,1389648,2,thigh,swing,0.0161,-0.0712,1.0594,19.0430,-22.3999,49.4995,t001,s001
2340024,1389664,2,thigh,swing,0.0641,-0.0710,1.0977,-18.5547,-3.1128,21.0571,t001,s001
2340024,1389679,2,thigh,swing,0.1145,-0.0773,1.1219,-27.9541,11.7798,11.1084,t001,s001
2340025,1389695,2,thigh,swing,0.1602,-0.0880,1.1184,-25.7568,37.3535,-1.2207,t001,s001
2340025,1389710,2,thigh,swing,0.2679,-0.1311,1.0508,-10.8032,50.6592,-2.5635,t001,s001
2340026,1389726,2,thigh,swing,0.3010,-0.1455,0.9827,26.4893,70.5566,6.1035,t001,s001
2340026,1389742,2,thigh,swing,0.3335,-0.0508,0.7876,51.1475,69.3359,15.2588,t001,s001
2340027,1389757,2,thigh,swing,0.3774,0.1698,0.7352,129.9438,34.4849,11.7187,t001,s001
2340115,1389772,2,thigh,swing,0.3892,0.1582,0.7827,119.5068,15.6860,-10.4370,t001,s001
2340117,1389788,2,thigh,swing,0.3181,0.0195,0.8368,86.3647,1.4648,-55.8472,t001,s001
2340118,1389803,2,thigh,swing,0.2881,-0.0474,0.8516,71.6553,-2.6245,-88.2568,t001,s001
2340118,1389819,2,thigh,swing,0.2540,-0.1405,0.8282,63.2935,-0.2441,-99.3042,t001,s001
2340119,1389834,2,thigh,swing,0.1864,-0.1854,0.7609,77.3926,5.7373,-113.4033,t001,s001
2340204,1389850,2,thigh,swing,-0.0194,-0.3287,0.6427,85.0220,0.4883,-124.4507,t001,s001
2340204,1389866,2,thigh,swing,-0.1021,-0.4181,0.6478,44.8608,-26.6724,-159.3628,t001,s001
2340204,1389881,2,thigh,swing,-0.0811,-0.5664,0.7405,21.4844,-41.5039,-168.5181,t001,s001
