timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,phase,ax,ay,az,gx,gy,gz,trial_id,subject_id
2339765,1353757,1,pelvis,swing,-0.1107,0.2809,0.1208,-149.6582,24.8413,-330.8105,t001,s001
2339849,1353773,1,pelvis,swing,-0.0564,0.1130,0.2151,-144.2261,-54.8706,-307.0679,t001,s001
2339850,1353789,1,pelvis,swing,0.0844,0.2257,0.6610,-145.3857,-87.0972,-271.4233,t001,s001
2339850,1353804,1,pelvis,swing,0.1136,0.2880,0.8744,-97.0459,-93.0786,-203.2471,t001,s001
2339851,1353820,1,pelvis,swing,0.2280,0.0093,0.8805,-75.3174,-78.9795,-156.1890,t001,s001
2339851,1353835,1,pelvis,swing,0.2683,0.0892,0.8329,-18.3716,-43.0908,-40.4053,t001,s001
2339935,1353851,1,pelvis,swing,0.2173,0.4556,0.7126,19.6533,-22.7051,0.6104,t001,s001
2339936,1353866,1,pelvis,swing,0.1302,0.6428,0.6782,76.6602,4.2114,36.0718,t001,s001
2339936,1353881,1,pelvis,swing,0.0820,0.6747,0.7172,105.8960,17.3340,42.8467,t001,s001
2340024,1353896,1,pelvis,swing,0.0421,0.7650,0.7068,92.4072,20.0195,40.8325,t001,s001
2340025,1353912,1,pelvis,swing,0.0194,0.8271,0.6975,45.7153,17.5171,21.8506,t001,s001
2340025,1353927,1,pelvis,swing,0.0374,0.9004,0.7207,22.0947,13.4277,4.7607,t001,s001
2340026,1353942,1,pelvis,swing,0.0807,0.9054,0.7324,-25.2686,9.2773,-29.6020,t001,s001
2340027,1353958,1,pelvis,swing,0.1876,0.8815,0.7046,-43.3350,10.2539,-44.4946,t001,s001
2340027,1353973,1,pelvis,swing,0.2572,0.8530,0.6771,-67.7490,14.8315,-72.3267,t001,s001
2340027,1353988,1,pelvis,swing,0.3281,0.7808,0.6489,-73.7305,18.8599,-82.7026,t001,s001
2340027,1354004,1,pelvis,swing,0.3634,0.7125,0.9247,-30.9448,33.8745,-84.5337,t001,s001
2340028,1354019,1,pelvis,swing,0.3994,0.6382,1.0635,28.9917,90.5762,-68.1152,t001,s001
2340115,1354035,1,pelvis,swing,0.3846,0.6708,0.8918,9.2773,124.8779,-63.6597,t001,s001
2340118,1354050,1,pelvis,swing,0.3596,0.6992,0.7487,-20.0806,168.3349,-65.1245,t001,s001
2340118,1354066,1,pelvis,swing,0.3145,0.6891,0.5670,-18.9209,177.4292,-68.7866,t001,s001
2340118,1354081,1,pelvis,swing,0.2758,0.6543,0.5283,-48.4009,172.1802,-79.4067,t001,s001
2340119,1354097,1,pelvis,swing,0.3215,0.6154,0.4706,-80.9936,162.6587,-85.3271,t001,s001
2340204,1354112,1,pelvis,swing,0.4065,0.5808,0.3292,-140.6860,142.2119,-102.2339,t001,s001
2340205,1354127,1,pelvis,swing,0.3929,0.5582,0.2507,-143.4326,109.3750,-106.7505,t001,s001
2340205,1354143,1,pelvis,swing,0.4539,0.5082,0.2202,-104.8584,88.3789,-94.9097,t001,s001
2340206,1354158,1,pelvis,swing,0.4821,0.4878,0.2689,-33.1421,50.7812,-62.8662,t001,s001
2340206,1354174,1,pelvis,swing,0.4722,0.4355,0.4426,-10.4980,39.6118,-49.9878,t001,s001
2340206,1354189,1,pelvis,swing,0.4943,0.4171,0.5420,40.5884,41.2598,-18.0664,t001,s001
2340289,1354205,1,pelvis,swing,0.5988,0.4419,0.6443,53.1006,55.7251,0.9766,t001,s001
2340290,1354220,1,pelvis,swing,0.6179,0.4789,0.6045,52.0019,97.1069,33.6914,t001,s001
2340291,1354235,1,pelvis,swing,0.5848,0.5491,0.4249,60.0586,112.8540,46.9360,t001,s001
2340291,1354250,1,pelvis,swing,0.5970,0.6245,0.2247,61.0962,124.0845,62.5610,t001,s001
2340377,1354266,1,pelvis,swing,0.5813,0.6534,0.1388,59.6924,111.3892,68.8477,t001,s001
2340377,1354281,1,pelvis,swing,0.5784,0.7291,0.0393,56.7017,95.9473,71.7163,t001,s001
2340378,1354296,1,pelvis,swing,0.5679,0.7812,0.0149,33.9355,55.4199,69.2749,t001,s001
2340379,1354311,1,pelvis,swing,0.5310,0.8707,0.0443,28.9917,32.1045,63.9648,t001,s001
2340464,1354327,1,pelvis,swing,0.5198,0.9017,0.1027,28.3203,-10.0098,48.2178,t001,s001
2340466,1354342,1,pelvis,swing,0.5192,0.9019,0.2776,34.4849,-23.7427,39.9780,t001,s001
2340467,1354357,1,pelvis,swing,0.5211,0.9152,0.3473,3.6011,-33.6914,24.7803,t001,s001
2340467,1354373,1,pelvis,swing,0.5316,0.9496,0.4210,-12.7563,-32.6538,13.6719,t001,s001
2340468,1354388,1,pelvis,swing,0.5201,0.8678,0.4414,-19.3481,-22.5830,-12.6953,t001,s001
