timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
93950974,119242,2,thigh,-0.5586,-0.7892,0.2655,0.5493,-0.1831,0.0000,,t001,s001
93950987,119258,2,thigh,-0.5582,-0.7876,0.2626,0.4272,0.0000,0.1221,,t001,s001
93951003,119274,2,thigh,-0.5571,-0.7821,0.2653,0.2441,-0.0610,0.1831,,t001,s001
93951019,119289,2,thigh,-0.5575,-0.7808,0.2682,-0.4272,0.2441,-0.1831,,t001,s001
93951034,119305,2,thigh,-0.5576,-0.7841,0.2694,-0.4883,0.4272,-0.3662,,t001,s001
93951050,119320,2,thigh,-0.5576,-0.7865,0.2694,0.1221,0.0610,-0.1221,,t001,s001
93951066,119336,2,thigh,-0.5568,-0.7881,0.2693,0.5493,-0.2441,0.1221,,t001,s001
93951081,119352,2,thigh,-0.5555,-0.7858,0.2645,0.9766,-0.3662,0.3662,,t001,s001
93951097,119367,2,thigh,-0.5555,-0.7823,0.2642,0.1221,-0.0610,0.1221,,t001,s001
93951113,119383,2,thigh,-0.5559,-0.7822,0.2655,-0.3052,0.1831,-0.1221,,t001,s001
93951129,119399,2,thigh,-0.5571,-0.7849,0.2672,-0.4272,0.2441,-0.3662,,t001,s001
93951144,119415,2,thigh,-0.5601,-0.7867,0.2726,-0.2441,0.1221,-0.2441,,t001,s001
93951160,119430,2,thigh,-0.5582,-0.7852,0.2694,0.4272,-0.1221,0.1221,,t001,s001
93951175,119446,2,thigh,-0.5563,-0.7853,0.2660,0.9155,-0.3052,0.3662,,t001,s001
93951191,119461,2,thigh,-0.5533,-0.7841,0.2633,0.8545,-0.3662,0.3662,,t001,s001
93951206,119477,2,thigh,-0.5536,-0.7837,0.2644,-0.0610,0.1221,-0.1221,,t001,s001
93951222,119493,2,thigh,-0.5563,-0.7842,0.2683,-0.4272,0.4272,-0.3662,,t001,s001
93951238,119508,2,thigh,-0.5586,-0.7843,0.2689,-0.3662,0.2441,-0.3052,,t001,s001
