timestamp_pc_ms,timestamp_arduino_ms,sensor_id,placement,ax,ay,az,gx,gy,gz,label,trial_id,subject_id
93950973,92512,3,ankle,-0.0305,0.9774,0.0393,0.1221,0.1221,0.1221,,t001,s001
93950987,92527,3,ankle,-0.0310,0.9778,0.0400,0.6104,0.0000,0.1831,,t001,s001
93951002,92542,3,ankle,-0.0332,0.9747,0.0413,0.5493,0.0000,0.1221,,t001,s001
93951018,92558,3,ankle,-0.0339,0.9755,0.0399,-0.1221,0.1221,0.0000,,t001,s001
93951033,92573,3,ankle,-0.0330,0.9773,0.0372,-0.3662,0.1221,0.0000,,t001,s001
93951049,92589,3,ankle,-0.0308,0.9773,0.0369,-0.1831,0.0610,0.0000,,t001,s001
93951064,92604,3,ankle,-0.0291,0.9760,0.0394,0.1831,0.0000,0.0610,,t001,s001
93951079,92619,3,ankle,-0.0325,0.9762,0.0378,0.1831,0.0610,0.1831,,t001,s001
93951095,92635,3,ankle,-0.0341,0.9766,0.0360,0.0610,0.0610,0.1221,,t001,s001
93951110,92650,3,ankle,-0.0328,0.9779,0.0386,0.2441,-0.0610,0.0610,,t001,s001
93951125,92666,3,ankle,-0.0327,0.9773,0.0398,0.1831,0.0610,0.1221,,t001,s001
93951141,92681,3,ankle,-0.0316,0.9757,0.0393,0.0610,0.1221,0.0610,,t001,s001
93951156,92696,3,ankle,-0.0312,0.9758,0.0399,0.0610,0.0000,0.0610,,t001,s001
93951171,92711,3,ankle,-0.0311,0.9758,0.0400,0.1221,0.0000,0.0610,,t001,s001
93951187,92727,3,ankle,-0.0323,0.9757,0.0394,0.0610,-0.0610,0.1221,,t001,s001
93951202,92742,3,ankle,-0.0332,0.9764,0.0367,0.0000,0.0000,0.1221,,t001,s001
93951218,92758,3,ankle,-0.0321,0.9783,0.0359,0.0610,0.0610,0.0000,,t001,s001
93951233,92773,3,ankle,-0.0325,0.9772,0.0396,0.3662,0.0000,-0.0610,,t001,s001
93951248,92788,3,ankle,-0.0327,0.9755,0.0417,0.3662,0.0610,0.0000,,t001,s001
93951264,92804,3,ankle,-0.0311,0.9756,0.0397,0.0610,0.1831,0.0610,,t001,s001
93951279,92819,3,ankle,-0.0306,0.9766,0.0378,-0.1831,0.1221,0.0000,,t001,s001
93951294,92834,3,ankle,-0.0314,0.9764,0.0371,0.0610,0.0610,0.0000,,t001,s001
93951309,92850,3,ankle,-0.0328,0.9767,0.0392,0.3052,0.0000,0.1221,,t001,s001
93951325,92865,3,ankle,-0.0326,0.9773,0.0397,0.1831,0.0000,0.1221,,t001,s001
93951340,92880,3,ankle,-0.0309,0.9777,0.0393,-0.0610,0.0610,-0.0610,,t001,s001
93951356,92896,3,ankle,-0.0311,0.9771,0.0396,0.2441,0.1221,0.0000,,t001,s001
93951371,92911,3,ankle,-0.0339,0.9766,0.0399,0.2441,0.1221,0.0610,,t001,s001
93951386,92927,3,ankle,-0.0348,0.9767,0.0389,0.0610,0.1221,0.0610,,t001,s001
93951402,92942,3,ankle,-0.0321,0.9760,0.0382,0.0000,0.0610,0.0000,,t001,s001
93951417,92957,3,ankle,-0.0310,0.9758,0.0376,0.0610,0.0000,0.0610,,t001,s001
93951433,92973,3,ankle,-0.0306,0.9764,0.0377,0.1831,0.0000,0.0610,,t001,s001
93951448,92988,3,ankle,-0.0308,0.9767,0.0392,0.2441,-0.0610,0.0610,,t001,s001
93951463,93004,3,ankle,-0.0325,0.9761,0.0405,0.2441,0.0000,0.1221,,t001,s001
93951479,93019,3,ankle,-0.0332,0.9753,0.0396,0.1221,0.0610,0.1221,,t001,s001
93951494,93034,3,ankle,-0.0327,0.9763,0.0383,0.0610,0.0610,0.0000,,t001,s001
93951509,93050,3,ankle,-0.0323,0.9763,0.0380,0.1221,0.1221,0.0000,,t001,s001
93951525,93065,3,ankle,-0.0336,0.9760,0.0385,0.1831,0.1221,0.0000,,t001,s001
93951540,93080,3,ankle,-0.0314,0.9755,0.0405,0.1831,0.0610,0.0000,,t001,s001
93951555,93096,3,ankle,-0.0311,0.9757,0.0405,0.1221,0.0610,0.0610,,t001,s001
93951571,93111,3,ankle,-0.0320,0.9768,0.0388,0.1221,0.0610,0.0610,,t001,s001
93951586,93126,3,ankle,-0.0326,0.9763,0.0382,0.1831,0.0000,0.1221,,t001,s001
93951602,93142,3,ankle,-0.0332,0.9766,0.0393,0.1221,0.0000,0.0610,,t001,s001
93951617,93157,3,ankle,-0.0330,0.9760,0.0396,0.1831,0.0610,0.0610,,t001,s001
93951633,93173,3,ankle,-0.0305,0.9747,0.0400,0.1831,0.0610,0.1221,,t001,s001
93951648,93188,3,ankle,-0.0314,0.9747,0.0374,-0.1831,0.1221,0.0610,,t001,s001
93951663,93203,3,ankle,-0.0323,0.9771,0.0344,-0.1831,0.1221,0.0000,,t001,s001
93951679,93219,3,ankle,-0.0320,0.9771,0.0371,0.2441,0.0000,0.0610,,t001,s001
93951694,93234,3,ankle,-0.0319,0.9756,0.0398,0.3052,0.0000,0.1221,,t001,s001
93951710,93250,3,ankle,-0.0317,0.9749,0.0402,0.1831,0.0000,0.1221,,t001,s001
93951725,93265,3,ankle,-0.0311,0.9757,0.0378,0.0610,0.0610,0.0610,,t001,s001
93951740,93280,3,ankle,-0.0309,0.9766,0.0374,0.1221,0.1221,0.0000,,t001,s001
93951756,93296,3,ankle,-0.0314,0.9757,0.0388,0.2441,0.1221,0.0000,,t001,s001
93951771,93311,3,ankle,-0.0332,0.9772,0.0397,0.1831,0.0000,0.1221,,t001,s001
93951786,93326,3,ankle,-0.0317,0.9773,0.0391,0.1221,0.0610,0.0610,,t001,s001
93951802,93342,3,ankle,-0.0293,0.9762,0.0371,-0.1221,0.1221,0.0000,,t001,s001
93951817,93357,3,ankle,-0.0308,0.9773,0.0345,-0.1221,0.0610,0.0000,,t001,s001
93951833,93373,3,ankle,-0.0305,0.9789,0.0420,0.5493,-0.0610,0.0610,,t001,s001
93951848,93388,3,ankle,-0.0288,0.9768,0.0480,0.7324,-0.0610,0.2441,,t001,s001
93951863,93404,3,ankle,-0.0343,0.9750,0.0376,-0.1831,0.1831,0.1831,,t001,s001
93951879,93419,3,ankle,-0.0353,0.9764,0.0330,-0.6104,0.0000,-0.0610,,t001,s001
93951895,93435,3,ankle,-0.0322,0.9788,0.0356,-0.1831,-0.0610,-0.0610,,t001,s001
93951910,93450,3,ankle,-0.0336,0.9781,0.0365,0.5493,0.0000,0.0610,,t001,s001
93951925,93465,3,ankle,-0.0353,0.9744,0.0406,0.4883,0.0000,0.1221,,t001,s001
93951941,93481,3,ankle,-0.0282,0.9778,0.0396,-0.3052,0.1221,0.0610,,t001,s001
93951956,93496,3,ankle,-0.0266,0.9788,0.0383,-0.1831,0.0610,0.0610,,t001,s001
93951971,93512,3,ankle,-0.0305,0.9763,0.0415,0.8545,-0.0610,0.1221,,t001,s001
93951987,93527,3,ankle,-0.0328,0.9753,0.0422,0.4272,0.0000,0.2441,,t001,s001
93952002,93542,3,ankle,-0.0359,0.9749,0.0388,-0.0610,0.0610,0.1221,,t001,s001
93952018,93558,3,ankle,-0.0347,0.9755,0.0371,-0.2441,0.0610,-0.1221,,t001,s001
93952033,93573,3,ankle,-0.0299,0.9764,0.0369,-0.1831,0.0000,-0.1221,,t001,s001
93952049,93589,3,ankle,-0.0294,0.9767,0.0370,-0.1221,0.0000,0.0610,,t001,s001
93952064,93604,3,ankle,-0.0315,0.9781,0.0375,0.0610,0.0000,0.0610,,t001,s001
93952079,93619,3,ankle,-0.0326,0.9775,0.0398,0.7324,0.0610,0.1831,,t001,s001
93952095,93635,3,ankle,-0.0328,0.9753,0.0422,0.7935,0.0610,0.3052,,t001,s001
93952110,93650,3,ankle,-0.0333,0.9750,0.0405,0.1221,0.1221,0.1831,,t001,s001
93952125,93665,3,ankle,-0.0323,0.9753,0.0353,-0.1831,0.1221,0.0610,,t001,s001
93952141,93681,3,ankle,-0.0319,0.9762,0.0352,-0.1221,-0.0610,-0.1221,,t001,s001
93952157,93697,3,ankle,-0.0309,0.9762,0.0404,0.1831,-0.0610,-0.1221,,t001,s001
93952172,93712,3,ankle,-0.0327,0.9751,0.0420,0.2441,0.0610,0.0610,,t001,s001
93952187,93727,3,ankle,-0.0326,0.9758,0.0387,-0.2441,0.1221,0.0610,,t001,s001
93952203,93743,3,ankle,-0.0319,0.9774,0.0342,-0.1221,0.1221,0.0610,,t001,s001
93952218,93758,3,ankle,-0.0316,0.9773,0.0367,0.5493,0.0000,0.1221,,t001,s001
93952234,93774,3,ankle,-0.0311,0.9752,0.0435,0.7324,0.0000,0.1221,,t001,s001
93952249,93789,3,ankle,-0.0312,0.9745,0.0438,0.0610,0.1221,0.1221,,t001,s001
93952264,93805,3,ankle,-0.0317,0.9757,0.0366,-0.3052,0.0610,0.1221,,t001,s001
93952280,93820,3,ankle,-0.0311,0.9773,0.0345,-0.2441,-0.0610,0.0000,,t001,s001
93952295,93836,3,ankle,-0.0293,0.9774,0.0380,0.2441,-0.0610,0.0000,,t001,s001
93952311,93851,3,ankle,-0.0297,0.9760,0.0420,0.6104,0.0000,0.1221,,t001,s001
93952326,93866,3,ankle,-0.0326,0.9758,0.0410,0.2441,0.0610,0.1221,,t001,s001
93952341,93882,3,ankle,-0.0331,0.9781,0.0363,-0.2441,0.0000,0.0610,,t001,s001
93952357,93897,3,ankle,-0.0325,0.9785,0.0359,-0.1221,0.0000,0.0610,,t001,s001
93952372,93913,3,ankle,-0.0333,0.9758,0.0396,0.3662,0.0000,0.1831,,t001,s001
93952388,93928,3,ankle,-0.0334,0.9752,0.0398,0.1221,0.1221,0.0610,,t001,s001
93952403,93943,3,ankle,-0.0304,0.9767,0.0387,-0.1221,0.0610,-0.0610,,t001,s001
93952419,93959,3,ankle,-0.0294,0.9771,0.0381,-0.0610,0.0000,-0.0610,,t001,s001
93952434,93974,3,ankle,-0.0291,0.9767,0.0397,0.2441,0.0000,0.0000,,t001,s001
93952449,93990,3,ankle,-0.0295,0.9763,0.0413,0.4272,0.1221,0.1221,,t001,s001
93952465,94005,3,ankle,-0.0328,0.9755,0.0387,0.1831,0.1831,0.1221,,t001,s001
93952480,94020,3,ankle,-0.0331,0.9756,0.0378,-0.0610,0.0610,-0.0610,,t001,s001
93952495,94036,3,ankle,-0.0315,0.9769,0.0388,0.0000,0.0000,0.0000,,t001,s001
93952511,94051,3,ankle,-0.0303,0.9772,0.0389,0.0000,0.0610,0.0610,,t001,s001
93952526,94066,3,ankle,-0.0305,0.9756,0.0369,-0.0610,0.0610,0.0610,,t001,s001
93952541,94082,3,ankle,-0.0310,0.9760,0.0363,0.0610,0.0000,0.0610,,t001,s001
93952557,94097,3,ankle,-0.0328,0.9777,0.0398,0.2441,0.0000,0.0610,,t001,s001
93952572,94112,3,ankle,-0.0336,0.9757,0.0414,0.4883,0.1221,0.1221,,t001,s001
93952587,94128,3,ankle,-0.0333,0.9747,0.0404,0.4272,0.1221,0.0610,,t001,s001
93952603,94143,3,ankle,-0.0320,0.9768,0.0377,-0.1831,0.0610,0.0000,,t001,s001
93952618,94158,3,ankle,-0.0316,0.9768,0.0361,-0.0610,0.0000,0.0000,,t001,s001
93952633,94173,3,ankle,-0.0317,0.9764,0.0383,0.1831,0.0000,0.0000,,t001,s001
93952648,94189,3,ankle,-0.0320,0.9763,0.0392,0.2441,0.0610,0.1221,,t001,s001
93952664,94204,3,ankle,-0.0332,0.9760,0.0377,0.0610,0.0610,0.1831,,t001,s001
93952679,94219,3,ankle,-0.0328,0.9769,0.0363,-0.0610,0.0610,0.0000,,t001,s001
93952694,94235,3,ankle,-0.0317,0.9767,0.0376,0.1831,0.0610,0.0000,,t001,s001
93952710,94250,3,ankle,-0.0320,0.9757,0.0392,0.4272,0.1221,0.1221,,t001,s001
93952725,94265,3,ankle,-0.0322,0.9753,0.0415,0.3052,0.0610,0.1831,,t001,s001
93952741,94281,3,ankle,-0.0322,0.9753,0.0405,-0.0610,0.0610,0.0610,,t001,s001
93952756,94296,3,ankle,-0.0308,0.9762,0.0378,-0.1221,0.0610,0.0610,,t001,s001
93952771,94312,3,ankle,-0.0302,0.9762,0.0372,0.0000,0.0610,0.0000,,t001,s001
93952787,94327,3,ankle,-0.0322,0.9767,0.0385,0.1221,0.0610,0.0000,,t001,s001
93952802,94342,3,ankle,-0.0332,0.9760,0.0398,0.1831,0.0610,-0.0610,,t001,s001
93952817,94358,3,ankle,-0.0321,0.9755,0.0394,0.1221,0.0000,0.0000,,t001,s001
93952833,94373,3,ankle,-0.0316,0.9761,0.0376,0.0610,0.0000,0.0610,,t001,s001
93952848,94388,3,ankle,-0.0312,0.9762,0.0380,0.1831,0.0610,0.1831,,t001,s001
93952863,94404,3,ankle,-0.0317,0.9756,0.0383,0.3052,0.0610,0.1831,,t001,s001
93952879,94419,3,ankle,-0.0321,0.9760,0.0385,0.2441,0.0000,0.0000,,t001,s001
